taxon	host	major_clade	minor_clade	sequenceID	combined
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148192	Canis familiaris	Cosmopolitan	ME1b	KX148192	KX148192/Cosmopolitan/ME1b/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148203	Canis familiaris	Cosmopolitan	AF1b	KX148203	KX148203/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148211	Canis familiaris	Cosmopolitan	AF1c	KX148211	KX148211/Cosmopolitan/AF1c/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148212	Canis aureus	Cosmopolitan	CA2	KX148212	KX148212/Cosmopolitan/CA2/Canis aureus}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148213	Und.	Cosmopolitan	AM1	KX148213	KX148213/Cosmopolitan/AM1/Und.}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148216	Canis familiaris	Cosmopolitan	AM3a	KX148216	KX148216/Cosmopolitan/AM3a/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148217	Canis familiaris	Cosmopolitan	AM3b	KX148217	KX148217/Cosmopolitan/AM3b/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148223	Und.	Africa-3	-	KX148223	KX148223/Africa-3/-/Und.}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148225	Canis familiaris	Arctic	AL1b	KX148225	KX148225/Arctic/AL1b/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148228	Canis familiaris	Arctic	AL3	KX148228	KX148228/Arctic/AL3/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148263	Canis familiaris	Asian	SEA4	KX148263	KX148263/Asian/SEA4/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KX148265	Canis familiaris	Asian	SEA1b	KX148265	KX148265/Asian/SEA1b/Canis familiaris}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/NC_001542	Vaccine strain	Cosmopolitan	Vac	NC_001542	NC_001542/Cosmopolitan/Vac/Vaccine strain}
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs-outgroup/NC_006429	-	-	-	NC_006429	NC_006429/-/-/-}
