taxon	host	major_clade	minor_clade	cluster	sequenceID	everything	isolate	sequenceID_plus_isolate_plus_minor_clade	sequenceID_plus_cluster
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383171	Eptesicus furinalis	Bats	EFu 	-	AB383171	AB383171/Bats/EFu /-/Eptesicus furinalis}	BR-EF4	AB383171/BR-EF4/EFu 	AB383171/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB383172	Nyctinomops laticaudatus	Bats	EFu 	-	AB383172	AB383172/Bats/EFu /-/Nyctinomops laticaudatus}	BR-NL2	AB383172/BR-NL2/EFu 	AB383172/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB517659	Canis familiaris	Cosmopolitan	AM3a	-	AB517659	AB517659/Cosmopolitan/AM3a/-/Canis familiaris}	BRdg335	AB517659/BRdg335/AM3a	AB517659/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB517660	Dusicyon_sp.	Cosmopolitan	AM3b	-	AB517660	AB517660/Cosmopolitan/AM3b/-/Dusicyon_sp.}	BR_Pfx3	AB517660/BR_Pfx3/AM3b	AB517660/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB519641	Artibeus lituratus	Bats	DR	-	AB519641	AB519641/Bats/DR/-/Artibeus lituratus}	BR_AL1	AB519641/BR_AL1/DR	AB519641/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB519642	Desmodus rotundus	Bats	DR	-	AB519642	AB519642/Bats/DR/-/Desmodus rotundus}	BR_DR1	AB519642/BR_DR1/DR	AB519642/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB635373	Paradoxurus zeylonensis	Indian-Sub	-	-	AB635373	AB635373/Indian-Sub/-/-/Paradoxurus zeylonensis}	H_1413_09	AB635373/H_1413_09/-	AB635373/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB645847	Marmota monax	Cosmopolitan	AM1	-	AB645847	AB645847/Cosmopolitan/AM1/-/Marmota monax}	1088	AB645847/1088/AM1	AB645847/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB981663	Canis familiaris	Asian	SEA3	-	AB981663	AB981663/Asian/SEA3/-/Canis familiaris}	Lao2	AB981663/Lao2/SEA3	AB981663/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AB981664	Canis familiaris	Asian	SEA3	-	AB981664	AB981664/Asian/SEA3/-/Canis familiaris}	Lao4	AB981664/Lao4/SEA3	AB981664/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325462	Homo sapiens	Cosmopolitan	CA3	-	AF325462	AF325462/Cosmopolitan/CA3/-/Homo sapiens}	HUN1-HM	AF325462/HUN1-HM/CA3	AF325462/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325463	Bos taurus	Cosmopolitan	YUGCOW	-	AF325463	AF325463/Cosmopolitan/YUGCOW/-/Bos taurus}	YUG1-WF	AF325463/YUG1-WF/YUGCOW	AF325463/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325464	Nyctereutes procyonoides	Cosmopolitan	CE	-	AF325464	AF325464/Cosmopolitan/CE/-/Nyctereutes procyonoides}	POL1-RD	AF325464/POL1-RD/CE	AF325464/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325466	Homo sapiens	Cosmopolitan	AF1a	-	AF325466	AF325466/Cosmopolitan/AF1a/-/Homo sapiens}	TUN1-HM	AF325466/TUN1-HM/AF1a	AF325466/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325467	Canis familiaris	Cosmopolitan	AF1a	-	AF325467	AF325467/Cosmopolitan/AF1a/-/Canis familiaris}	MOR2-DG	AF325467/MOR2-DG/AF1a	AF325467/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325469	Homo sapiens	Cosmopolitan	AF1a	-	AF325469	AF325469/Cosmopolitan/AF1a/-/Homo sapiens}	MOR3-HM	AF325469/MOR3-HM/AF1a	AF325469/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325477	Canis familiaris	Cosmopolitan	AM2a	-	AF325477	AF325477/Cosmopolitan/AM2a/-/Canis familiaris}	MEX1-DG	AF325477/MEX1-DG/AM2a	AF325477/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325478	Canis familiaris	Cosmopolitan	AF1c	-	AF325478	AF325478/Cosmopolitan/AF1c/-/Canis familiaris}	MAD1-DG	AF325478/MAD1-DG/AF1c	AF325478/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325480	Canis familiaris	Africa-2	-	-	AF325480	AF325480/Africa-2/-/-/Canis familiaris}	NIG1-DG	AF325480/NIG1-DG/-	AF325480/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325481	Canis familiaris	Africa-2	-	-	AF325481	AF325481/Africa-2/-/-/Canis familiaris}	CAM1-UN	AF325481/CAM1-UN/-	AF325481/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325483	Camelus dromedarius	Africa-2	-	-	AF325483	AF325483/Africa-2/-/-/Camelus dromedarius}	MAU1-CL	AF325483/MAU1-CL/-	AF325483/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325484	Canis familiaris	Africa-2	-	-	AF325484	AF325484/Africa-2/-/-/Canis familiaris}	GUI1-DG	AF325484/GUI1-DG/-	AF325484/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325485	Cynictis penicillata	Africa-3	-	-	AF325485	AF325485/Africa-3/-/-/Cynictis penicillata}	SAF1-MG	AF325485/SAF1-MG/-	AF325485/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325487	Homo sapiens	Asian	SEA3	-	AF325487	AF325487/Asian/SEA3/-/Homo sapiens}	MAL1-HM	AF325487/MAL1-HM/SEA3	AF325487/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325489	Canis familiaris	Indian-Sub	-	-	AF325489	AF325489/Indian-Sub/-/-/Canis familiaris}	NEP1-DG	AF325489/NEP1-DG/-	AF325489/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325494	Myotis sp	Bats	MYsp 	-	AF325494	AF325494/Bats/MYsp /-/Myotis sp}	USA8-BT	AF325494/USA8-BT/MYsp 	AF325494/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF325495	Myotis sp	Bats	MYsp 	-	AF325495	AF325495/Bats/MYsp /-/Myotis sp}	USA9-BT	AF325495/USA9-BT/MYsp 	AF325495/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351830	Eptesicus fuscus	Bats	EF-W2	-	AF351830	AF351830/Bats/EF-W2/-/Eptesicus fuscus}	EF22	AF351830/EF22/EF-W2	AF351830/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351831	Eptesicus fuscus	Bats	EF-E2	-	AF351831	AF351831/Bats/EF-E2/-/Eptesicus fuscus}	EF31	AF351831/EF31/EF-E2	AF351831/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351832	Eptesicus fuscus	Bats	EF-E2	-	AF351832	AF351832/Bats/EF-E2/-/Eptesicus fuscus}	EF34	AF351832/EF34/EF-E2	AF351832/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351835	Myotis evotis	Bats	MYsp	-	AF351835	AF351835/Bats/MYsp/-/Myotis evotis}	ME1	AF351835/ME1/MYsp	AF351835/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351836	Myotis californicus	Bats	MYsp	-	AF351836	AF351836/Bats/MYsp/-/Myotis californicus}	MC2	AF351836/MC2/MYsp	AF351836/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351838	Myotis lucifugus	Bats	MYsp	-	AF351838	AF351838/Bats/MYsp/-/Myotis lucifugus}	ML6	AF351838/ML6/MYsp	AF351838/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351839	Myotis lucifugus	Bats	MYsp	-	AF351839	AF351839/Bats/MYsp/-/Myotis lucifugus}	ML4	AF351839/ML4/MYsp	AF351839/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351849	Tadarida brasiliensis	Bats	TB	-	AF351849	AF351849/Bats/TB/-/Tadarida brasiliensis}	TB1	AF351849/TB1/TB	AF351849/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351850	Tadarida sp	Bats	TB	-	AF351850	AF351850/Bats/TB/-/Tadarida sp}	IB-Ch	AF351850/IB-Ch/TB	AF351850/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351854	Eptesicus fuscus	Bats	EF-E1	-	AF351854	AF351854/Bats/EF-E1/-/Eptesicus fuscus}	EF72	AF351854/EF72/EF-E1	AF351854/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351855	Eptesicus fuscus	Bats	EF-E2	-	AF351855	AF351855/Bats/EF-E2/-/Eptesicus fuscus}	EF19	AF351855/EF19/EF-E2	AF351855/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351859	Eptesicus fuscus	Bats	EF-E1	-	AF351859	AF351859/Bats/EF-E1/-/Eptesicus fuscus}	EF57	AF351859/EF57/EF-E1	AF351859/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351860	Eptesicus fuscus	Bats	EF-E1	-	AF351860	AF351860/Bats/EF-E1/-/Eptesicus fuscus}	EF71	AF351860/EF71/EF-E1	AF351860/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351861	Eptesicus fuscus	Bats	EF-E2	-	AF351861	AF351861/Bats/EF-E2/-/Eptesicus fuscus}	EF3	AF351861/EF3/EF-E2	AF351861/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF351862	Eptesicus fuscus	Bats	EF-E2	-	AF351862	AF351862/Bats/EF-E2/-/Eptesicus fuscus}	EF40	AF351862/EF40/EF-E2	AF351862/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369265	Mephitis mephitis	Arctic	A	-	AF369265	AF369265/Arctic/A/-/Mephitis mephitis}	ONT1.RFX	AF369265/ONT1.RFX/A	AF369265/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369266	Vulpes vulpes	Arctic	A	-	AF369266	AF369266/Arctic/A/-/Vulpes vulpes}	ONT2.RFX	AF369266/ONT2.RFX/A	AF369266/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369272	Vulpes vulpes	Cosmopolitan	WE	-	AF369272	AF369272/Cosmopolitan/WE/-/Vulpes vulpes}	V034.RFX	AF369272/V034.RFX/WE	AF369272/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369273	Vulpes vulpes	Cosmopolitan	WE	-	AF369273	AF369273/Cosmopolitan/WE/-/Vulpes vulpes}	V285.RFX	AF369273/V285.RFX/WE	AF369273/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369274	Vulpes vulpes	Cosmopolitan	CA1	-	AF369274	AF369274/Cosmopolitan/CA1/-/Vulpes vulpes}	RU7.FX	AF369274/RU7.FX/CA1	AF369274/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369280	Vulpes vulpes	Cosmopolitan	ME1a	-	AF369280	AF369280/Cosmopolitan/ME1a/-/Vulpes vulpes}	V660.FX	AF369280/V660.FX/ME1a	AF369280/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369284	Nyctereutes procyonoides	Arctic	AL2	-	AF369284	AF369284/Arctic/AL2/-/Nyctereutes procyonoides}	RU9.RD	AF369284/RU9.RD/AL2	AF369284/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369285	Mephitis mephitis	Cosmopolitan	AM1	-	AF369285	AF369285/Cosmopolitan/AM1/-/Mephitis mephitis}	867WC.SK	AF369285/867WC.SK/AM1	AF369285/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369286	Mephitis mephitis	Cosmopolitan	AM1	-	AF369286	AF369286/Cosmopolitan/AM1/-/Mephitis mephitis}	1741WC.SK	AF369286/1741WC.SK/AM1	AF369286/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369287	Mephitis mephitis	RAC-SK	-	-	AF369287	AF369287/RAC-SK/-/-/Mephitis mephitis}	V211.SK	AF369287/V211.SK/-	AF369287/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369289	Mephitis mephitis	Cosmopolitan	AM2a	-	AF369289	AF369289/Cosmopolitan/AM2a/-/Mephitis mephitis}	V213.SK	AF369289/V213.SK/AM2a	AF369289/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369291	Mephitis mephitis	RAC-SK	-	-	AF369291	AF369291/RAC-SK/-/-/Mephitis mephitis}	V216.SK	AF369291/V216.SK/-	AF369291/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369293	Procyon lotor	RAC-SK	-	-	AF369293	AF369293/RAC-SK/-/-/Procyon lotor}	NY.RAC	AF369293/NY.RAC/-	AF369293/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369294	Procyon lotor	RAC-SK	-	-	AF369294	AF369294/RAC-SK/-/-/Procyon lotor}	FL.RAC	AF369294/FL.RAC/-	AF369294/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369297	Canis familiaris	Cosmopolitan	AF1b	-	AF369297	AF369297/Cosmopolitan/AF1b/-/Canis familiaris}	V250.CD	AF369297/V250.CD/AF1b	AF369297/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369298	Cynictis penicillata	Africa-3	-	-	AF369298	AF369298/Africa-3/-/-/Cynictis penicillata}	V046.MG	AF369298/V046.MG/-	AF369298/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369301	Cynictis penicillata	Africa-3	-	-	AF369301	AF369301/Africa-3/-/-/Cynictis penicillata}	V050.MG	AF369301/V050.MG/-	AF369301/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369302	Cynictis penicillata	Africa-3	-	-	AF369302	AF369302/Africa-3/-/-/Cynictis penicillata}	V264.MG	AF369302/V264.MG/-	AF369302/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369309	Canis familiaris	Indian-Sub	-	-	AF369309	AF369309/Indian-Sub/-/-/Canis familiaris}	I15.DG	AF369309/I15.DG/-	AF369309/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369311	Canis familiaris	Cosmopolitan	CA1	-	AF369311	AF369311/Cosmopolitan/CA1/-/Canis familiaris}	Ir5.DG	AF369311/Ir5.DG/CA1	AF369311/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369314	Canis familiaris	Cosmopolitan	AM3a	-	AF369314	AF369314/Cosmopolitan/AM3a/-/Canis familiaris}	B1.DG	AF369314/B1.DG/AM3a	AF369314/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369315	Canis familiaris	Cosmopolitan	AM3b	-	AF369315	AF369315/Cosmopolitan/AM3b/-/Canis familiaris}	P1.DG	AF369315/P1.DG/AM3b	AF369315/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369317	Canis familiaris	Arctic	AL3	-	AF369317	AF369317/Arctic/AL3/-/Canis familiaris}	V121.DG	AF369317/V121.DG/AL3	AF369317/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369320	Canis familiaris	Indian-Sub	-	-	AF369320	AF369320/Indian-Sub/-/-/Canis familiaris}	V113.DG	AF369320/V113.DG/-	AF369320/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369321	Canis familiaris	Indian-Sub	-	-	AF369321	AF369321/Indian-Sub/-/-/Canis familiaris}	V118.DG	AF369321/V118.DG/-	AF369321/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369322	Canis familiaris	Cosmopolitan	AF1a	-	AF369322	AF369322/Cosmopolitan/AF1a/-/Canis familiaris}	V027.DG	AF369322/V027.DG/AF1a	AF369322/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369326	Canis familiaris	Africa-2	-	-	AF369326	AF369326/Africa-2/-/-/Canis familiaris}	V461.DG	AF369326/V461.DG/-	AF369326/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369329	Canis familiaris	Cosmopolitan	Vac2	-	AF369329	AF369329/Cosmopolitan/Vac2/-/Canis familiaris}	V466.DG	AF369329/V466.DG/Vac2	AF369329/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369330	Bos taurus	Arctic	AL1a	-	AF369330	AF369330/Arctic/AL1a/-/Bos taurus}	V458.DG	AF369330/V458.DG/AL1a	AF369330/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369331	Canis familiaris	Cosmopolitan	AF1a	-	AF369331	AF369331/Cosmopolitan/AF1a/-/Canis familiaris}	V667.DG	AF369331/V667.DG/AF1a	AF369331/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369333	Canis familiaris	Cosmopolitan	AF1b	-	AF369333	AF369333/Cosmopolitan/AF1b/-/Canis familiaris}	V670.DG	AF369333/V670.DG/AF1b	AF369333/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369337	Canis latrans	Cosmopolitan	AM2a	-	AF369337	AF369337/Cosmopolitan/AM2a/-/Canis latrans}	V217.CO	AF369337/V217.CO/AM2a	AF369337/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369338	Eptesicus fuscus	Bats	EF-E1	-	AF369338	AF369338/Bats/EF-E1/-/Eptesicus fuscus}	058.BBB	AF369338/058.BBB/EF-E1	AF369338/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369339	Eptesicus fuscus	Bats	EF-E2	-	AF369339	AF369339/Bats/EF-E2/-/Eptesicus fuscus}	2994.BBB	AF369339/2994.BBB/EF-E2	AF369339/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369340	Eptesicus fuscus	Bats	EF-E2	-	AF369340	AF369340/Bats/EF-E2/-/Eptesicus fuscus}	V084.BBB	AF369340/V084.BBB/EF-E2	AF369340/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369341	Eptesicus fuscus	Bats	EF-W2	-	AF369341	AF369341/Bats/EF-W2/-/Eptesicus fuscus}	V078.BBB	AF369341/V078.BBB/EF-W2	AF369341/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369342	Eptesicus fuscus	Bats	EF-W1	-	AF369342	AF369342/Bats/EF-W1/-/Eptesicus fuscus}	V230.BBB	AF369342/V230.BBB/EF-W1	AF369342/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369343	Myotis lucifugus	Bats	MYsp 	-	AF369343	AF369343/Bats/MYsp /-/Myotis lucifugus}	V089.LBB	AF369343/V089.LBB/MYsp 	AF369343/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369344	Myotis lucifugus	Bats	MYsp 	-	AF369344	AF369344/Bats/MYsp /-/Myotis lucifugus}	4887.LBB	AF369344/4887.LBB/MYsp 	AF369344/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369345	Lasionycteris noctivagans	Bats	LN	-	AF369345	AF369345/Bats/LN/-/Lasionycteris noctivagans}	4398.SHB	AF369345/4398.SHB/LN	AF369345/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369346	Lasionycteris noctivagans	Bats	LN	-	AF369346	AF369346/Bats/LN/-/Lasionycteris noctivagans}	V077.SHB	AF369346/V077.SHB/LN	AF369346/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369347	Lasiurus cinereus	Bats	LC	-	AF369347	AF369347/Bats/LC/-/Lasiurus cinereus}	V103.HB	AF369347/V103.HB/LC	AF369347/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369348	Lasiurus borealis	Bats	LB	-	AF369348	AF369348/Bats/LB/-/Lasiurus borealis}	V231.RB	AF369348/V231.RB/LB	AF369348/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369349	Myotis sp	Bats	MYsp 	-	AF369349	AF369349/Bats/MYsp /-/Myotis sp}	3694.MYO	AF369349/3694.MYO/MYsp 	AF369349/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369350	Eptesicus fuscus	Bats	EF-E2	-	AF369350	AF369350/Bats/EF-E2/-/Eptesicus fuscus}	4805.BBB	AF369350/4805.BBB/EF-E2	AF369350/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369351	Lasiurus borealis	Bats	LB	-	AF369351	AF369351/Bats/LB/-/Lasiurus borealis}	6832.RB	AF369351/6832.RB/LB	AF369351/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369352	Myotis lucifugus	Bats	MYsp 	-	AF369352	AF369352/Bats/MYsp /-/Myotis lucifugus}	7890.LBB	AF369352/7890.LBB/MYsp 	AF369352/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369353	Vulpes vulpes	Bats	MYsp 	-	AF369353	AF369353/Bats/MYsp /-/Vulpes vulpes}	9499.MYO	AF369353/9499.MYO/MYsp 	AF369353/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369354	Myotis evotis	Bats	MYsp 	-	AF369354	AF369354/Bats/MYsp /-/Myotis evotis}	V102.MYO	AF369354/V102.MYO/MYsp 	AF369354/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369355	Eptesicus fuscus	Bats	EF-E2	-	AF369355	AF369355/Bats/EF-E2/-/Eptesicus fuscus}	V151.BBB	AF369355/V151.BBB/EF-E2	AF369355/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369356	Lasionycteris noctivagans	Bats	LN	-	AF369356	AF369356/Bats/LN/-/Lasionycteris noctivagans}	V158.SHB	AF369356/V158.SHB/LN	AF369356/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369357	Eptesicus fuscus	Bats	EF-E2	-	AF369357	AF369357/Bats/EF-E2/-/Eptesicus fuscus}	V170.BBB	AF369357/V170.BBB/EF-E2	AF369357/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369358	Myotis lucifugus	Bats	MYsp 	-	AF369358	AF369358/Bats/MYsp /-/Myotis lucifugus}	V179.LBB	AF369358/V179.LBB/MYsp 	AF369358/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF369359	Tadarida brasiliensis	Bats	TB	-	AF369359	AF369359/Bats/TB/-/Tadarida brasiliensis}	V235.FTB	AF369359/V235.FTB/TB	AF369359/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF394887	Eptesicus fuscus	Bats	EF-W2	-	AF394887	AF394887/Bats/EF-W2/-/Eptesicus fuscus}	804	AF394887/804/EF-W2	AF394887/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AF467949	Cynictis penicillata	Africa-3	-	-	AF467949	AF467949/Africa-3/-/-/Cynictis penicillata}	-	AF467949/-/-	AF467949/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY039226	Eptesicus fuscus	Bats	EF-E1	-	AY039226	AY039226/Bats/EF-E1/-/Eptesicus fuscus}	136	AY039226/136/EF-E1	AY039226/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY039227	Eptesicus fuscus	Bats	EF-E2	-	AY039227	AY039227/Bats/EF-E2/-/Eptesicus fuscus}	906	AY039227/906/EF-E2	AY039227/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY039229	Eptesicus fuscus	Bats	EF-E2	-	AY039229	AY039229/Bats/EF-E2/-/Eptesicus fuscus}	132	AY039229/132/EF-E2	AY039229/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY138549	Canis familiaris	Indian-Sub	-	-	AY138549	AY138549/Indian-Sub/-/-/Canis familiaris}	1294	AY138549/1294/-	AY138549/-
