taxon	host	major_clade	minor_clade	sequenceID	combined
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/AF325467	Canis familiaris	Cosmopolitan	AF1a	AF325467	AF325467/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/AF325469	Homo sapiens	Cosmopolitan	AF1a	AF325469	AF325469/Cosmopolitan/AF1a/Homo sapiens}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/AF325477	Canis familiaris	Cosmopolitan	AM2a	AF325477	AF325477/Cosmopolitan/AM2a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1c/member/ncbi-refseqs/AF325478	Canis familiaris	Cosmopolitan	AF1c	AF325478	AF325478/Cosmopolitan/AF1c/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/AF325480	Canis familiaris	Africa-2	-	AF325480	AF325480/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/AF325481	Canis familiaris	Africa-2	-	AF325481	AF325481/Africa-2/-/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/AF325483	Camelus dromedarius	Africa-2	-	AF325483	AF325483/Africa-2/-/Camelus dromedarius}
alignment/AL_Africa-2/member/ncbi-refseqs/AF325484	Canis familiaris	Africa-2	-	AF325484	AF325484/Africa-2/-/Canis familiaris}
alignment/AL_Africa-3/member/ncbi-refseqs/AF325485	Cynictis penicillata	Africa-3	-	AF325485	AF325485/Africa-3/-/Cynictis penicillata}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/AF325487	Homo sapiens	Asian	SEA3	AF325487	AF325487/Asian/SEA3/Homo sapiens}
alignment/AL_Indian-Sub/member/ncbi-refseqs/AF325489	Canis familiaris	Indian-Sub	-	AF325489	AF325489/Indian-Sub/-/Canis familiaris}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF325494	Myotis sp	Bats	MYsp 	AF325494	AF325494/Bats/MYsp /Myotis sp}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF325495	Myotis sp	Bats	MYsp 	AF325495	AF325495/Bats/MYsp /Myotis sp}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/AF351830	Eptesicus fuscus	Bats	EF-W2	AF351830	AF351830/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AF351831	Eptesicus fuscus	Bats	EF-E2	AF351831	AF351831/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AF351832	Eptesicus fuscus	Bats	EF-E2	AF351832	AF351832/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF351835	Myotis evotis	Bats	MYsp	AF351835	AF351835/Bats/MYsp/Myotis evotis}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF351836	Myotis californicus	Bats	MYsp	AF351836	AF351836/Bats/MYsp/Myotis californicus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF351838	Myotis lucifugus	Bats	MYsp	AF351838	AF351838/Bats/MYsp/Myotis lucifugus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF351839	Myotis lucifugus	Bats	MYsp	AF351839	AF351839/Bats/MYsp/Myotis lucifugus}
alignment/AL_Bats_DR/member/ncbi-refseqs/AF351849	Tadarida brasiliensis	Bats	DR	AF351849	AF351849/Bats/DR/Tadarida brasiliensis}
alignment/AL_Bats_TB/member/ncbi-refseqs/AF351850	Tadarida sp	Bats	TB	AF351850	AF351850/Bats/TB/Tadarida sp}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/AF351854	Eptesicus fuscus	Bats	EF-E1	AF351854	AF351854/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AF351855	Eptesicus fuscus	Bats	EF-E2	AF351855	AF351855/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/AF351859	Eptesicus fuscus	Bats	EF-E1	AF351859	AF351859/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/AF351860	Eptesicus fuscus	Bats	EF-E1	AF351860	AF351860/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AF351861	Eptesicus fuscus	Bats	EF-E2	AF351861	AF351861/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AF351862	Eptesicus fuscus	Bats	EF-E2	AF351862	AF351862/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Arctic_A/member/ncbi-refseqs/AF369265	Mephitis mephitis	Arctic	A	AF369265	AF369265/Arctic/A/Mephitis mephitis}
alignment/AL_Arctic_A/member/ncbi-refseqs/AF369266	Vulpes vulpes	Arctic	A	AF369266	AF369266/Arctic/A/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/AF369272	Vulpes vulpes	Cosmopolitan	WE	AF369272	AF369272/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/AF369273	Vulpes vulpes	Cosmopolitan	WE	AF369273	AF369273/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/AF369274	Vulpes vulpes	Cosmopolitan	CA1	AF369274	AF369274/Cosmopolitan/CA1/Vulpes vulpes}
alignment/AL_Cosmopolitan_ME1a/member/ncbi-refseqs/AF369280	Vulpes vulpes	Cosmopolitan	ME1a	AF369280	AF369280/Cosmopolitan/ME1a/Vulpes vulpes}
alignment/AL_Arctic_AL2/member/ncbi-refseqs/AF369284	Nyctereutes procyonoides	Arctic	AL2	AF369284	AF369284/Arctic/AL2/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_AM1/member/ncbi-refseqs/AF369285	Mephitis mephitis	Cosmopolitan	AM1	AF369285	AF369285/Cosmopolitan/AM1/Mephitis mephitis}
alignment/AL_Cosmopolitan_AM1/member/ncbi-refseqs/AF369286	Mephitis mephitis	Cosmopolitan	AM1	AF369286	AF369286/Cosmopolitan/AM1/Mephitis mephitis}
alignment/AL_RAC-SK/member/ncbi-refseqs/AF369287	Mephitis mephitis	RAC-SK	-	AF369287	AF369287/RAC-SK/-/Mephitis mephitis}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/AF369289	Mephitis mephitis	Cosmopolitan	AM2a	AF369289	AF369289/Cosmopolitan/AM2a/Mephitis mephitis}
alignment/AL_RAC-SK/member/ncbi-refseqs/AF369291	Mephitis mephitis	RAC-SK	-	AF369291	AF369291/RAC-SK/-/Mephitis mephitis}
alignment/AL_RAC-SK/member/ncbi-refseqs/AF369293	Procyon lotor	RAC-SK	-	AF369293	AF369293/RAC-SK/-/Procyon lotor}
alignment/AL_RAC-SK/member/ncbi-refseqs/AF369294	Procyon lotor	RAC-SK	-	AF369294	AF369294/RAC-SK/-/Procyon lotor}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/AF369297	Canis familiaris	Cosmopolitan	AF1b	AF369297	AF369297/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Africa-3/member/ncbi-refseqs/AF369298	Cynictis penicillata	Africa-3	-	AF369298	AF369298/Africa-3/-/Cynictis penicillata}
alignment/AL_Africa-3/member/ncbi-refseqs/AF369301	Cynictis penicillata	Africa-3	-	AF369301	AF369301/Africa-3/-/Cynictis penicillata}
alignment/AL_Africa-3/member/ncbi-refseqs/AF369302	Cynictis penicillata	Africa-3	-	AF369302	AF369302/Africa-3/-/Cynictis penicillata}
alignment/AL_Indian-Sub/member/ncbi-refseqs/AF369309	Canis familiaris	Indian-Sub	-	AF369309	AF369309/Indian-Sub/-/Canis familiaris}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/AF369311	Canis familiaris	Cosmopolitan	CA1	AF369311	AF369311/Cosmopolitan/CA1/Canis familiaris}
alignment/AL_Cosmopolitan_AM3a/member/ncbi-refseqs/AF369314	Canis familiaris	Cosmopolitan	AM3a	AF369314	AF369314/Cosmopolitan/AM3a/Canis familiaris}
alignment/AL_Cosmopolitan_AM3b/member/ncbi-refseqs/AF369315	Canis familiaris	Cosmopolitan	AM3b	AF369315	AF369315/Cosmopolitan/AM3b/Canis familiaris}
alignment/AL_Arctic_AL3/member/ncbi-refseqs/AF369317	Canis familiaris	Arctic	AL3	AF369317	AF369317/Arctic/AL3/Canis familiaris}
alignment/AL_Indian-Sub/member/ncbi-refseqs/AF369320	Canis familiaris	Indian-Sub	-	AF369320	AF369320/Indian-Sub/-/Canis familiaris}
alignment/AL_Indian-Sub/member/ncbi-refseqs/AF369321	Canis familiaris	Indian-Sub	-	AF369321	AF369321/Indian-Sub/-/Canis familiaris}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/AF369322	Canis familiaris	Cosmopolitan	AF1a	AF369322	AF369322/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Africa-2/member/ncbi-refseqs/AF369326	Canis familiaris	Africa-2	-	AF369326	AF369326/Africa-2/-/Canis familiaris}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/AF369329	Canis familiaris	Cosmopolitan	MexSK-2	AF369329	AF369329/Cosmopolitan/MexSK-2/Canis familiaris}
alignment/AL_Arctic_AL1a/member/ncbi-refseqs/AF369330	Bos taurus	Arctic	AL1a	AF369330	AF369330/Arctic/AL1a/Bos taurus}
alignment/AL_Cosmopolitan_AF1a/member/ncbi-refseqs/AF369331	Canis familiaris	Cosmopolitan	AF1a	AF369331	AF369331/Cosmopolitan/AF1a/Canis familiaris}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/AF369333	Canis familiaris	Cosmopolitan	AF1b	AF369333	AF369333/Cosmopolitan/AF1b/Canis familiaris}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/AF369337	Canis latrans	Cosmopolitan	AM2a	AF369337	AF369337/Cosmopolitan/AM2a/Canis latrans}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/AF369338	Eptesicus fuscus	Bats	EF-E1	AF369338	AF369338/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AF369339	Eptesicus fuscus	Bats	EF-E2	AF369339	AF369339/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AF369340	Eptesicus fuscus	Bats	EF-E2	AF369340	AF369340/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/AF369341	Eptesicus fuscus	Bats	EF-W2	AF369341	AF369341/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/AF369342	Eptesicus fuscus	Bats	EF-W1	AF369342	AF369342/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF369343	Myotis lucifugus	Bats	MYsp 	AF369343	AF369343/Bats/MYsp /Myotis lucifugus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF369344	Myotis lucifugus	Bats	MYsp 	AF369344	AF369344/Bats/MYsp /Myotis lucifugus}
alignment/AL_Bats_LN/member/ncbi-refseqs/AF369345	Lasionycteris noctivagans	Bats	LN	AF369345	AF369345/Bats/LN/Lasionycteris noctivagans}
alignment/AL_Bats_LN/member/ncbi-refseqs/AF369346	Lasionycteris noctivagans	Bats	LN	AF369346	AF369346/Bats/LN/Lasionycteris noctivagans}
alignment/AL_Bats_LC/member/ncbi-refseqs/AF369347	Lasiurus cinereus	Bats	LC	AF369347	AF369347/Bats/LC/Lasiurus cinereus}
alignment/AL_Bats_LB/member/ncbi-refseqs/AF369348	Lasiurus borealis	Bats	LB	AF369348	AF369348/Bats/LB/Lasiurus borealis}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF369349	Myotis sp	Bats	MYsp 	AF369349	AF369349/Bats/MYsp /Myotis sp}
alignment/AL_Bats/member/ncbi-refseqs/AF369350	Eptesicus fuscus	Bats	EF-E2	AF369350	AF369350/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_LB/member/ncbi-refseqs/AF369351	Lasiurus borealis	Bats	LB	AF369351	AF369351/Bats/LB/Lasiurus borealis}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF369352	Myotis lucifugus	Bats	MYsp 	AF369352	AF369352/Bats/MYsp /Myotis lucifugus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF369353	Vulpes vulpes	Bats	MYsp 	AF369353	AF369353/Bats/MYsp /Vulpes vulpes}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF369354	Myotis evotis	Bats	MYsp 	AF369354	AF369354/Bats/MYsp /Myotis evotis}
alignment/AL_Bats/member/ncbi-refseqs/AF369355	Eptesicus fuscus	Bats	EF-E2	AF369355	AF369355/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_LN/member/ncbi-refseqs/AF369356	Lasionycteris noctivagans	Bats	LN	AF369356	AF369356/Bats/LN/Lasionycteris noctivagans}
alignment/AL_Bats/member/ncbi-refseqs/AF369357	Eptesicus fuscus	Bats	EF-E2	AF369357	AF369357/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/AF369358	Myotis lucifugus	Bats	MYsp 	AF369358	AF369358/Bats/MYsp /Myotis lucifugus}
alignment/AL_Bats_DR/member/ncbi-refseqs/AF369359	Tadarida brasiliensis	Bats	DR	AF369359	AF369359/Bats/DR/Tadarida brasiliensis}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/AF394887	Eptesicus fuscus	Bats	EF-W2	AF394887	AF394887/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Africa-3/member/ncbi-refseqs/AF467949	Cynictis penicillata	Africa-3	-	AF467949	AF467949/Africa-3/-/Cynictis penicillata}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/AY039226	Eptesicus fuscus	Bats	EF-E1	AY039226	AY039226/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AY039227	Eptesicus fuscus	Bats	EF-E2	AY039227	AY039227/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/AY039229	Eptesicus fuscus	Bats	EF-E2	AY039229	AY039229/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Indian-Sub/member/ncbi-refseqs/AY138549	Canis familiaris	Indian-Sub	-	AY138549	AY138549/Indian-Sub/-/Canis familiaris}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/AY170413	Eptesicus fuscus	Bats	EF-W1	AY170413	AY170413/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Arctic_AL2/member/ncbi-refseqs/AY352459	Vulpes corsac	Arctic	AL2	AY352459	AY352459/Arctic/AL2/Vulpes corsac}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/AY352474	Vulpes vulpes	Cosmopolitan	NEE	AY352474	AY352474/Cosmopolitan/NEE/Vulpes vulpes}
alignment/AL_Arctic_A/member/ncbi-refseqs/AY352487	Vulpes lagopus	Arctic	A	AY352487	AY352487/Arctic/A/Vulpes lagopus}
alignment/AL_Arctic_AL1a/member/ncbi-refseqs/AY352493	Homo sapiens	Arctic	AL1a	AY352493	AY352493/Arctic/AL1a/Homo sapiens}
alignment/AL_Bats/member/ncbi-refseqs/AY705373	Homo sapiens	Bats	PS	AY705373	AY705373/Bats/PS/Homo sapiens}
alignment/AL_Bats_PS/member/ncbi-refseqs/AY705373	Homo sapiens	Bats	PS	AY705373	AY705373/Bats/PS/Homo sapiens}
alignment/AL_Arctic_AL1a/member/ncbi-refseqs/AY956319	Homo sapiens	Arctic	AL1a	AY956319	AY956319/Arctic/AL1a/Homo sapiens}
alignment/AL_Arctic_AL1a/member/ncbi-refseqs/EF437215	Homo sapiens	Arctic	AL1a	EF437215	EF437215/Arctic/AL1a/Homo sapiens}
alignment/AL_Arctic_A/member/ncbi-refseqs/EF611853	Canis familiaris	Arctic	A	EF611853	EF611853/Arctic/A/Canis familiaris}
alignment/AL_Asian_SEA2a/member/ncbi-refseqs/EU086144	Canis familiaris	Asian	SEA2a	EU086144	EU086144/Asian/SEA2a/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/EU086146	Canis familiaris	Asian	SEA1b	EU086146	EU086146/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/EU086152	Canis familiaris	Asian	SEA3	EU086152	EU086152/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA4/member/ncbi-refseqs/EU086155	Homo sapiens	Asian	SEA4	EU086155	EU086155/Asian/SEA4/Homo sapiens}
alignment/AL_Asian_SEA4/member/ncbi-refseqs/EU086205	Canis familiaris	Asian	SEA4	EU086205	EU086205/Asian/SEA4/Canis familiaris}
alignment/AL_Asian/member/ncbi-refseqs/EU293111	Homo sapiens	Asian	SEA3	EU293111	EU293111/Asian/SEA3/Homo sapiens}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/EU293111	Homo sapiens	Asian	SEA3	EU293111	EU293111/Asian/SEA3/Homo sapiens}
alignment/AL_MASTER/member/ncbi-refseqs/EU293111	Homo sapiens	Asian	SEA3	EU293111	EU293111/Asian/SEA3/Homo sapiens}
alignment/AL_Cosmopolitan_WE/member/ncbi-refseqs/EU293115	Vulpes vulpes	Cosmopolitan	WE	EU293115	EU293115/Cosmopolitan/WE/Vulpes vulpes}
alignment/AL_Bats_TB/member/ncbi-refseqs/EU293116	Tadarida brasilensis	Bats	TB	EU293116	EU293116/Bats/TB/Tadarida brasilensis}
alignment/AL_MASTER/member/ncbi-refseqs/EU311738	Procyon lotor	RAC-SK	-	EU311738	EU311738/RAC-SK/-/Procyon lotor}
alignment/AL_RAC-SK/member/ncbi-refseqs/EU311738	Procyon lotor	RAC-SK	-	EU311738	EU311738/RAC-SK/-/Procyon lotor}
alignment/AL_Asian_SEA2a/member/ncbi-refseqs/EU643590	Homo sapiens	Asian	SEA2a	EU643590	EU643590/Asian/SEA2a/Homo sapiens}
alignment/AL_Africa-2/member/ncbi-refseqs/EU853614	Canis familiaris	Africa-2	-	EU853614	EU853614/Africa-2/-/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/FJ712194	Canis familiaris	Asian	SEA1b	FJ712194	FJ712194/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA2b/member/ncbi-refseqs/FJ712195	Melogale moschata	Asian	SEA2b	FJ712195	FJ712195/Asian/SEA2b/Melogale moschata}
alignment/AL_Asian_SEA2b/member/ncbi-refseqs/FJ712196	Melogale moschata	Asian	SEA2b	FJ712196	FJ712196/Asian/SEA2b/Melogale moschata}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/FJ866835	Canis familiaris	Asian	SEA1b	FJ866835	FJ866835/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/FJ866836	Canis familiaris	Asian	SEA1b	FJ866836	FJ866836/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1a/member/ncbi-refseqs/GU345746	Canis familiaris	Asian	SEA1a	GU345746	GU345746/Asian/SEA1a/Canis familiaris}
alignment/AL_Asian/member/ncbi-refseqs/GU345747	Homo sapiens	Asian	SEA1a	GU345747	GU345747/Asian/SEA1a/Homo sapiens}
alignment/AL_Asian_SEA1a/member/ncbi-refseqs/GU345747	Homo sapiens	Asian	SEA1a	GU345747	GU345747/Asian/SEA1a/Homo sapiens}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/GU345748	Canis familiaris	Asian	SEA1b	GU345748	GU345748/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian/member/ncbi-refseqs/GU358653	Canis familiaris	Asian	SEA2a	GU358653	GU358653/Asian/SEA2a/Canis familiaris}
alignment/AL_Asian_SEA2a/member/ncbi-refseqs/GU358653	Canis familiaris	Asian	SEA2a	GU358653	GU358653/Asian/SEA2a/Canis familiaris}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/GU644682	Eptesicus fuscus	Bats	EF-W2	GU644682	GU644682/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/GU644683	Eptesicus fuscus	Bats	EF-W2	GU644683	GU644683/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/GU644851	Eptesicus fuscus	Bats	EF-W2	GU644851	GU644851/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Asian/member/ncbi-refseqs/GU647092	Melogale moschata	Asian	SEA2b	GU647092	GU647092/Asian/SEA2b/Melogale moschata}
alignment/AL_Asian_SEA2b/member/ncbi-refseqs/GU647092	Melogale moschata	Asian	SEA2b	GU647092	GU647092/Asian/SEA2b/Melogale moschata}
alignment/AL_Arctic_AL1a/member/ncbi-refseqs/HE802675	Bos taurus	Arctic	AL1a	HE802675	HE802675/Arctic/AL1a/Bos taurus}
alignment/AL_Arctic_AL1b/member/ncbi-refseqs/HE802676	Bos taurus	Arctic	AL1b	HE802676	HE802676/Arctic/AL1b/Bos taurus}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/HQ450385	Canis familiaris	Asian	SEA1b	HQ450385	HQ450385/Asian/SEA1b/Canis familiaris}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/HQ450386	Canis familiaris	Cosmopolitan	AM2a	HQ450386	HQ450386/Cosmopolitan/AM2a/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JN609295	Canis familiaris	Asian	SEA1b	JN609295	JN609295/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/JN786877	Canis familiaris	Asian	SEA3	JN786877	JN786877/Asian/SEA3/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ423952	Equus ferus	Asian	SEA1b	JQ423952	JQ423952/Asian/SEA1b/Equus ferus}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ647510	Equus asinus	Asian	SEA1b	JQ647510	JQ647510/Asian/SEA1b/Equus asinus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685892	Urocyon cinereoargenteus	Bats	EF-W1	JQ685892	JQ685892/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685893	Mephitis mephitis	Bats	EF-W1	JQ685893	JQ685893/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/JQ685894	Mephitis mephitis	Cosmopolitan	Ungrouped	JQ685894	JQ685894/Cosmopolitan/Ungrouped/Mephitis mephitis}
alignment/AL_Bats/member/ncbi-refseqs/JQ685895	Lasionycteris noctivagans	Bats	LN	JQ685895	JQ685895/Bats/LN/Lasionycteris noctivagans}
alignment/AL_Bats_LN/member/ncbi-refseqs/JQ685895	Lasionycteris noctivagans	Bats	LN	JQ685895	JQ685895/Bats/LN/Lasionycteris noctivagans}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685896	Urocyon cinereoargenteus	Bats	EF-W1	JQ685896	JQ685896/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685897	Eptesicus fuscus	Bats	EF-W1	JQ685897	JQ685897/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685898	Eptesicus fuscus	Bats	EF-W1	JQ685898	JQ685898/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/JQ685899	Urocyon cinereoargenteus	Cosmopolitan	Ungrouped	JQ685899	JQ685899/Cosmopolitan/Ungrouped/Urocyon cinereoargenteus}
