taxon	host	major_clade	minor_clade	cluster	sequenceID	everything	isolate	sequenceID_plus_isolate_plus_minor_clade	sequenceID_plus_cluster
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF620487	Melogale moschata	Asian	SEA5	-	KF620487	KF620487/Asian/SEA5/-/Melogale moschata}	R2012_26	KF620487/R2012_26/SEA5	KF620487/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF620488	Melogale moschata	Asian	SEA5	-	KF620488	KF620488/Asian/SEA5/-/Melogale moschata}	R2012_88	KF620488/R2012_88/SEA5	KF620488/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KF726853	Melogale moschata	Asian	SEA1b	-	KF726853	KF726853/Asian/SEA1b/-/Melogale moschata}	JX10_37	KF726853/JX10_37/SEA1b	KF726853/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KM016899	Vulpes vulpes	Cosmopolitan	CA1	-	KM016899	KM016899/Cosmopolitan/CA1/-/Vulpes vulpes}	WQ14_RF	KM016899/WQ14_RF/CA1	KM016899/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KM272192	Canis familiaris	Arctic	AL2	-	KM272192	KM272192/Arctic/AL2/-/Canis familiaris}	CQH1202D	KM272192/CQH1202D/AL2	KM272192/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148100	Phyllostomidae stenodermatinae	Bats	DR	-	KX148100	KX148100/Bats/DR/-/Phyllostomidae stenodermatinae}	09035FRA	KX148100/09035FRA/DR	KX148100/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148102	Canis familiaris	Cosmopolitan	AM2a	-	KX148102	KX148102/Cosmopolitan/AM2a/-/Canis familiaris}	91026MEX	KX148102/91026MEX/AM2a	KX148102/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148103	Homo sapiens	Cosmopolitan	AF1b	-	KX148103	KX148103/Cosmopolitan/AF1b/-/Homo sapiens}	87021AFS	KX148103/87021AFS/AF1b	KX148103/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148104	Bos taurus	Cosmopolitan	YUGCOW	-	KX148104	KX148104/Cosmopolitan/YUGCOW/-/Bos taurus}	86058YOU	KX148104/86058YOU/YUGCOW	KX148104/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148105	Canis familiaris	Arctic	A	-	KX148105	KX148105/Arctic/A/-/Canis familiaris}	86083GRO	KX148105/86083GRO/A	KX148105/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148106	Vulpes vulpes	Arctic	A	-	KX148106	KX148106/Arctic/A/-/Vulpes vulpes}	91005USA	KX148106/91005USA/A	KX148106/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148107	Felis catus	Africa-2	-	-	KX148107	KX148107/Africa-2/-/-/Felis catus}	86097BEN	KX148107/86097BEN/-	KX148107/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148109	Canis familiaris	Bats	DR	-	KX148109	KX148109/Bats/DR/-/Canis familiaris}	86117BRE	KX148109/86117BRE/DR	KX148109/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148112	Homo sapiens	Cosmopolitan	AM2a	-	KX148112	KX148112/Cosmopolitan/AM2a/-/Homo sapiens}	91010MEX	KX148112/91010MEX/AM2a	KX148112/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148113	Vulpes vulpes	Cosmopolitan	CE	-	KX148113	KX148113/Cosmopolitan/CE/-/Vulpes vulpes}	92002GER	KX148113/92002GER/CE	KX148113/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148129	Vulpes vulpes	Cosmopolitan	WE	-	KX148129	KX148129/Cosmopolitan/WE/-/Vulpes vulpes}	94091SLN	KX148129/94091SLN/WE	KX148129/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148135	Vulpes vulpes	Cosmopolitan	WE	-	KX148135	KX148135/Cosmopolitan/WE/-/Vulpes vulpes}	92001GER	KX148135/92001GER/WE	KX148135/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148140	Vulpes vulpes	Cosmopolitan	EE	-	KX148140	KX148140/Cosmopolitan/EE/-/Vulpes vulpes}	86109YOU	KX148140/86109YOU/EE	KX148140/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148141	Vulpes vulpes	Cosmopolitan	EE	-	KX148141	KX148141/Cosmopolitan/EE/-/Vulpes vulpes}	96135POL	KX148141/96135POL/EE	KX148141/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148143	Vulpes vulpes	Cosmopolitan	EE	-	KX148143	KX148143/Cosmopolitan/EE/-/Vulpes vulpes}	93080HON	KX148143/93080HON/EE	KX148143/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148145	Canis lupus	Cosmopolitan	EE	-	KX148145	KX148145/Cosmopolitan/EE/-/Canis lupus}	86054YOU	KX148145/86054YOU/EE	KX148145/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148150	Nyctereutes procyonoides	Cosmopolitan	NEE	-	KX148150	KX148150/Cosmopolitan/NEE/-/Nyctereutes procyonoides}	96026POL	KX148150/96026POL/NEE	KX148150/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148151	Vulpes vulpes	Cosmopolitan	NEE	-	KX148151	KX148151/Cosmopolitan/NEE/-/Vulpes vulpes}	96042POL	KX148151/96042POL/NEE	KX148151/-
