Accession	Strain	Country	Location	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
KX148105	86083GRO	Greenland		Dog 	Canis familiaris	1980	Arctic	A	Mouse	This study	Complete genome	Kuzmin
KX148224	91004USA	USA		Striped skunk	Mephitis mephitis	1991	Arctic	A	Original brain	This study	Complete genome	Kuzmin
KX148106	91005USA	USA		Red fox	Vulpes vulpes	1990	Arctic	A	Original brain	This study	Complete genome	Kuzmin
EF611853	A0905	USA	AK	Dog 	Canis familiaris	2006	Arctic	A	Original brain	[11]; this study	N	Troupin
JQ685980	A0905	USA	AK	Dog 	Canis familiaris	2006	Arctic	A	Original brain	[11]; this study	G	Troupin
JQ685990	Fox-9064	NH		Red fox	Vulpes vulpes		Arctic	A	Original brain	Troupin	G	Troupin
AF369265	ONT1.RFX	Canada		Striped skunk	Mephitis mephitis	1991	Arctic	A		[18]	P	Troupin
AF369266	ONT2.RFX	Canada		Red fox	Vulpes vulpes	1990	Arctic	A		[18]	P	Troupin
EF437215	NNV_RAB_H	India		Human 	Homo sapiens	2006	Arctic	AL1a	Original brain	Desai et al., unpublished	Complete genome	Troupin
HE802675	Pk_23	Pakistan		Cow	Bos taurus	2010	Arctic	AL1a	Mouse	Hussain et al. unpublished	Complete genome	Kuzmin
AY352493	rv61	UK (via India)		Human 	Homo sapiens	1987	Arctic	AL1a	Mouse	[5]; this study	N	Troupin
JQ685981	rv61	UK (via India)		Human 	Homo sapiens	1987	Arctic	AL1a	Mouse	[5]; this study	G	Troupin
KF154996	RV61	India		Human 	Homo sapiens	1987	Arctic	AL1a	Mouse		Complete genome	Kuzmin
AY956319	Serotype_1	Germany (via India)		Human 	Homo sapiens	2004	Arctic	AL1a	Saliva?	Pfefferle et al., unpublished	Complete genome	Troupin
AF369330	V458.DG	India		Cow	Bos taurus	1991	Arctic	AL1a		[18]	P	Troupin
KX148225	02052AFG	Afghanistan		Dog 	Canis familiaris	2002	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin
KX148227	04029AFG	Afghanistan		Dog 	Canis familiaris	2004	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin
KX148226	04035AFG	Afghanistan		Dog 	Canis familiaris	2002	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin
HE802676	Pk_24	Pakistan		Cow	Bos taurus	2007	Arctic	AL1b	Mouse	Hussain et al. unpublished	Complete genome	Kuzmin
KC171643	08F40	South Korea		Cattle	Bos taurus	2008	Arctic	AL2	Original brain		Complete genome	Kuzmin
AY352459	304c	Russia	Tyva	Corsac fox	Vulpes corsac	1977	Arctic	AL2	Mouse	[5]; this study	N	Troupin
JQ685983	304c	Russia	Tyva	Corsac fox	Vulpes corsac	1977	Arctic	AL2	Mouse	[5]; this study	G	Troupin
KC171644	BD0406CC	South Korea		Raccoon dog	Nyctereutes procyonoides	2004	Arctic	AL2	Original brain		Complete genome	Kuzmin
KC171645	BV9901PJ	South Korea		Raccoon dog	Nyctereutes procyonoides	1999	Arctic	AL2	Original brain		Complete genome	Kuzmin
KM272192	CQH1202D	China		Dog 	Canis familiaris	2012	Arctic	AL2		Guo et al. unpublished	Complete genome	Kuzmin
AF369284	RU9.RD	Russia		Raccoon dog	Nyctereutes procyonoides	1988	Arctic	AL2		[18]	P	Troupin
KX148228	99001NEP	Nepal		Dog 	Canis familiaris	1998	Arctic	AL3	Original brain	This study	Complete genome	Kuzmin
AF369317	V121.DG	Nepal		Dog 	Canis familiaris	1989	Arctic	AL3		[18]	P	Troupin
KX148267	02050CHI	China		Human 	Homo sapiens	1992	Asian	SEA1a	Mouse	This study	Complete genome	Kuzmin
GU345746	CQ92	China		Dog 	Canis familiaris	1992	Asian	SEA1a		Meng et al.,unpublished	Complete genome	Troupin
GU345747	RV_J	China		Human 	Homo sapiens	1986	Asian	SEA1a		Meng et al., unpublished	Complete genome	Troupin
KX148266	03003INDO	Indonesia		Dog 	Canis familiaris	2003	Asian	SEA1b	Mouse	This study	Complete genome	Kuzmin
EU086146	05005CHI	China		Dog 	Canis familiaris	2005	Asian	SEA1b		[10]	G	Troupin
KX148265	98011CHI	China		Dog 	Canis familiaris	1998	Asian	SEA1b	Original brain	This study	Complete genome	Kuzmin
JQ423952	BJ2011E	China		Horse	Equus ferus	2011	Asian	SEA1b		Chen et al. unpublished	Complete genome	Kuzmin
JQ970481	CJS0621D	China		Dog 	Canis familiaris	2006	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970482	CJS0636D	China		Dog 	Canis familiaris	2006	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970483	CJS0848D	China		Dog 	Canis familiaris	2008	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970484	CJX0903D	China		Dog 	Canis familiaris	2009	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970485	CJX0906D	China		Dog 	Canis familiaris	2009	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
KC193267	CNM1101C	China		Cow	Bos taurus	2011	Asian	SEA1b	Original brain	Yin et al. unpublished	Complete genome	Kuzmin
KC252634	CNM1104D	China		Dog	Canis familiaris	2011	Asian	SEA1b	Original brain	Yin et al. unpublished	Complete genome	Kuzmin
JQ970486	CSD0708D	China		Dog 	Canis familiaris	2007	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970487	CSX0904D	China		Dog 	Canis familiaris	2009	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
HQ450385	DRV_AH08	China		Dog 	Canis familiaris	2008	Asian	SEA1b	Mouse		Complete genome	Kuzmin
FJ866835	FJ008	China		Dog 	Canis familiaris	2008	Asian	SEA1b		Zhang et al., unpublished	Complete genome	Troupin
FJ866836	FJ009	China		Dog 	Canis familiaris	2008	Asian	SEA1b		Zhang et al. unpublished	Complete genome	Kuzmin
JN609295	FJDRV	China		Dog 	Canis familiaris	2008	Asian	SEA1b		Qi unpublished	Complete genome	Kuzmin
KC169986	GXHXN	China		Cow	Bos taurus	2009	Asian	SEA1b	Original brain		Complete genome	Kuzmin
KJ564280	IMDRV_13	China		Fallow deer	Dama dama	2013	Asian	SEA1b	Original brain		Complete genome	Kuzmin
KC762941	JX09_17	China		Ferret badger	Melogale moschata	2009	Asian	SEA1b	Original brain		Complete genome	Kuzmin
KF726853	JX10_37	China		Ferret badger	Melogale moschata	2010	Asian	SEA1b	Original brain		Complete genome	Kuzmin
KJ004416	JZ13_Lv	China		Human 	Homo sapiens	2013	Asian	SEA1b		Wang et al. unpublished	Complete genome	Kuzmin
GU345748	SH06	China		Dog 	Canis familiaris	2006	Asian	SEA1b		Meng et al., unpublished	Complete genome	Troupin
KC977995	Shaanxi_HZ	China		Dog 	Canis familiaris	2009	Asian	SEA1b			Complete genome	Kuzmin
JQ647510	WH11	China		Donkey	Equus asinus	2011	Asian	SEA1b	Original brain		Complete genome	Kuzmin
FJ712194		China		Dog 	Canis familiaris	2008	Asian	SEA1b		[2]	Complete genome	Troupin
EU086144	02046CHI	China		Dog 	Canis familiaris	1994	Asian	SEA2a		[10]	G	Troupin
KX148264	02046CHI	China		Dog	Canis familiaris	1994	Asian	SEA2a	Mouse	This study	Complete genome	Kuzmin
JQ970480	CHN0802D	China		Dog 	Canis familiaris	2008	Asian	SEA2a	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JX088694	GD_SH_01	China		Pig	Sus domesticus	2011	Asian	SEA2a	Original brain	-10	Complete genome	Kuzmin
GU358653	GX4	China		Dog 	Canis familiaris	1994	Asian	SEA2a		Li et al., unpublished	Complete genome	Troupin
EU643590	HN10	China		Human 	Homo sapiens	2006	Asian	SEA2a		[12]	Complete genome	Troupin
FJ712195	F02	China		Ferret badger	Melogale moschata	2008	Asian	SEA2b	Original brain	[2]	Complete genome	Troupin
FJ712196	F04	China		Ferret badger	Melogale moschata	2008	Asian	SEA2b		[2]	Complete genome	Troupin
GU647092	JX08_45	China		Ferret badger	Melogale moschata	2008	Asian	SEA2b		Zhao et al. unpublished	Complete genome	Kuzmin
KF726852	JX09_18	China		Ferret badger	Melogale moschata	2009	Asian	SEA2b	Original brain		Complete genome	Kuzmin
KX148254	01016VNM	Viet Nam		Dog 	Canis familiaris	2001	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148261	01016VNM	Vietnam		Dog	Canis familiaris	2001	Asian	SEA3	Mouse	This study	Complete genome	Kuzmin
KX148258	02003LAO	Laos		Dog 	Canis familiaris	2002	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148256	02004LAO	Laos		Dog 	Canis familiaris	2002	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148257	02005LAO	Laos		Dog 	Canis familiaris	2002	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148249	02006CBG	Cambodia		Dog	Canis familiaris	1998	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
EU293111	8764THA	Thailand		Human 	Homo sapiens	1983	Asian	SEA3	Mouse	[3]	Complete genome	Troupin
KX148252	99008CBG	Cambodia		Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148247	99009BIR	Myanmar		Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148255	99010LAO	Laos		Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148251	99011CBG	Cambodia		Dog	Canis familiaris	1998	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148253	99012CBG	Cambodia		Dog 	Canis familiaris	1998	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148248	99015BIR	Myanmar		Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148250	99016CBG	Cambodia		Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
EU086152	9910LAO	Laos		Dog 	Canis familiaris	1999	Asian	SEA3		[10]	G	Troupin
JQ730682	CYN1009D	China		Dog 	Canis familiaris	2010	Asian	SEA3	Original brain	Troupin	Complete genome	Kuzmin
AB981663	Lao2	Laos		Dog 	Canis familiaris	2011	Asian	SEA3	Original brain		Complete genome	Kuzmin
AB981664	Lao4	Laos		Dog 	Canis familiaris	2011	Asian	SEA3	Original brain		Complete genome	Kuzmin
AF325487	MAL1-HM	Malaysia		Human 	Homo sapiens	1985	Asian	SEA3		[19]	G	Troupin
JN786877	QS_05	Thailand		Dog 	Canis familiaris		Asian	SEA3	Mouse		Complete genome	Kuzmin
EU086155	04030PHI	Philippines		Human 	Homo sapiens	2004	Asian	SEA4		[10]	G	Troupin
EU086205	04030PHI	Philippines		Dog 	Canis familiaris	2004	Asian	SEA4		[10]	N	Troupin
KX148260	04030PHI	Philippines		Dog 	Canis familiaris	2004	Asian	SEA4	Mouse	This study	Complete genome	Kuzmin
KX148259	94272PHI	Philippines		Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
KX148263	94275PHI	Philippines		Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
KX148262	94278PHI	Philippines		Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
KX148261	94281PHI	Philippines		Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
KF620487	R2012_26	Taiwan		Ferret badger	Melogale moschata	2012	Asian	SEA5	Original brain		Complete genome	Kuzmin
KF620488	R2012_88	Taiwan		Ferret badger	Melogale moschata	2012	Asian	SEA5	Original brain		Complete genome	Kuzmin
KF620489	R2013_01	Taiwan		Ferret badger	Melogale moschata	2013	Asian	SEA5	Original brain		Complete genome	Kuzmin
JQ686006	WR93-1654	USA	AZ	Pallid bat	Antrozous pallidus	1993	Bats	AP	Original brain	Troupin	G	Troupin
JQ685971	AZ3003	USA	AZ	Pallid bat	Antrozous pallidus	2009	Bats	AP	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
KX148100	09035FRA	French Guiana		Bat 	Phyllostomidae stenodermatinae	2009	Bats	DR	Original brain	This study	Complete genome	Kuzmin
JQ685936	3634DR	Mexico		Cow	Bos taurus	2009	Bats	DR	Mouse	This study	N, P, M, G, L	Troupin
JQ685953	3645DR	Mexico		Human 	Homo sapiens	2009	Bats	DR	mouse	This study	Complete genome	Troupin
KX148109	86117BRE	Brazil		Dog 	Canis familiaris	1986	Bats	DR	Original brain	This study	Complete genome	Kuzmin
KX148268	90001FRA	French Guiana		Dog 	Canis familiaris	1990	Bats	DR	Original brain	This study	Complete genome	Kuzmin
AB519641	BR_AL1	Brazil		Great fruit-eating bat	Artibeus lituratus	1998	Bats	DR	Original brain		Complete genome	Kuzmin
AB519642	BR_DR1	Brazil		Common vampire bat	Desmodus rotundus	2000	Bats	DR	Original brain		Complete genome	Kuzmin
AB247428	BR-DR8	Brazil		Common vampire bat	Desmodus rotundus		Bats	DR		Sato, unpublished	G	Troupin
AF351849	TB1	USA	TX	Mexican free-tailed bat	Tadarida brasiliensis		Bats	TB		[15]	N	Troupin
AF369359	V235.FTB	USA	TX	Mexican free-tailed bat	Tadarida brasiliensis	1994	Bats	TB		[18]	P	Troupin
JQ685963	Coati -3639	Mexico	Cancun	Coati	Nasua narica	2009	Bats	TB	Mouse	Troupin	Complete genome	Troupin
JQ685905	FL385	USA	FL	Mexican free-tailed bat	Tadarida brasiliensis	2003	Bats	TB	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AY039226	136	USA	RA	Big brown bat	Eptesicus fuscus	1984	Bats	EF-E1		[17]	N	Troupin
JQ686010	A11-6191	USA	WV		Fox (unidentified)	2011	Bats	EF-E1	Original brain	Troupin	G	Troupin
AF369338	058.BBB	Canada		Big brown bat	Eptesicus fuscus	1993	Bats	EF-E1		[18]	P	Troupin
JQ685920	EF	USA	PA	Big brown bat	Eptesicus fuscus	1984	Bats	EF-E1	mouse	This study	Complete genome	Troupin
AF351859	EF57	Canada	ONT	Big brown bat	Eptesicus fuscus	1997	Bats	EF-E1		[15]	N	Troupin
AF351860	EF71	USA	CT	Big brown bat	Eptesicus fuscus	1998	Bats	EF-E1		[15]	N	Troupin
AF351854	EF72	USA	CT	Big brown bat	Eptesicus fuscus	1998	Bats	EF-E1		[15]	N	Troupin
JQ686002	VS120-109	USA	NC	Big brown bat	Eptesicus fuscus	2010	Bats	EF-E1	Original brain	Troupin	G	Troupin
AY039229	132	USA	PA	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[17]	N	Troupin
AY039227	906	USA	WA	Big brown bat	Eptesicus fuscus	1986	Bats	EF-E2		[17]	N	Troupin
JQ685996	A09-2561	USA	IA	Big brown bat	Eptesicus fuscus	2010	Bats	EF-E2	Original brain	Troupin	G	Troupin
AF369339	2994.BBB	Canada		Big brown bat	Eptesicus fuscus	1993	Bats	EF-E2		[18]	P	Troupin
AF369350	4805.BBB	Canada		Big brown bat	Eptesicus fuscus	1995	Bats	EF-E2		[18]	P	Troupin
AF351855	EF19	Canada	ALTA	Big brown bat	Eptesicus fuscus	1991	Bats	EF-E2		[15]	N	Troupin
AF351861	EF3	Canada	ON	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[15]	N	Troupin
AF351861	EF3	Canada	ONT	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[15]	N	Troupin
AF351831	EF31	Canada	SASK	Big brown bat	Eptesicus fuscus	1989	Bats	EF-E2		[15]	N	Troupin
AF351832	EF34	Canada	BC	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[15]	N	Troupin
AF351862	EF40	Canada	ON	Big brown bat	Eptesicus fuscus	1995	Bats	EF-E2		[15]	N	Troupin
AF369340	V084.BBB	Canada		Big brown bat	Eptesicus fuscus	1989	Bats	EF-E2		[18]	P	Troupin
AF369355	V151.BBB	Canada		Big brown bat	Eptesicus fuscus	1989	Bats	EF-E2		[18]	P	Troupin
AF369357	V170.BBB	Canada		Big brown bat	Eptesicus fuscus	1993	Bats	EF-E2		[18]	P	Troupin
JQ685925	waef03	USA	WA	Big brown bat	Eptesicus fuscus	2004	Bats	EF-E2	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685934	2401	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685898	A093500	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	2009	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685961	AZ10-140	AZ/Flagstaff		Big brown bat	Eptesicus fuscus	2010	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
JQ685913	AZBAT-6763	USA	AZ	Big brown bat	Eptesicus fuscus	1985	Bats	EF-W1	Mouse	This study	Complete genome	Troupin
JQ685956	AZBAT-7453	USA	AZ	Big brown bat	Eptesicus fuscus	1975	Bats	EF-W1	Mouse	Troupin	Complete genome	Troupin
JQ685909	CA100	USA	CA	Big brown bat	Eptesicus fuscus	2005	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685917	CO-Coyot-2010	USA	CO	Coyote	Canis latrans	2010	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685941	SM1545	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2005	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685974	SM3844	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	1995	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
JQ685907	SM3849	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	1996	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685946	SM4862	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	1999	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685923	SM4871	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	1999	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685960	SM4872	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685932	SM5076	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685911	SM5077	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685893	SM5079	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685904	SM5081	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685940	SM5100	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685958	SM5101	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685969	SM5440	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685962	SM5441	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685897	SM5442	USA		Big brown bat	Eptesicus fuscus	2001	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685959	SM5451	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685933	SM5950	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2004	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685945	SM6709	USA	AZ/Flagstaff	Cat	Felis catus	2005	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685908	1060	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685972	2395	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	Troupin	N, P, M, G, L	Troupin
JQ685937	2396	USA	AZ/Flagstaff	Ring-tailed cat	Bassariscus astutus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685892	2398	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685939	2399	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685912	2400	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685896	2402	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685928	2403	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685976	2526	USA	AZ/Flagstaff	Gray Fox	Urocyon cinereoargenteus	2009	Bats	EF-W1	Original brain	Troupin	N, P, M, G, L	Troupin
JQ685950	A093504	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	2009	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685951	AZ10-144	AZ/Flagstaff		Big brown bat	Eptesicus fuscus	2010	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	N, P, M, G, L	Troupin
JQ685926	AZ2408	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	2005	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685935	SM5074	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685949	SM5075	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685927	SM5080	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685906	SM5102	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
