Accession	Strain	SequenceID	GenBankName	Region	Year	Country	IslandGroup	Region	Province	Municipality	Species_latin_binomial	Accession	Major_clade	Minor_clade
AB563875	TRa-056	TRa-056_X_2008	RV/R10.PHL/2008/TRa-056	X	2008	Philippines	Mindanao	X	Misamis Oriental	Balingasag	Canis familiaris	AB563875	AL_Asian	AL_Asian_SEA4
AB563876	TRa-057	TRa-057_X_2008	RV/R10.PHL/2008/TRa-057	X	2008	Philippines	Mindanao	X	Misamis Oriental	Balingasag	Canis familiaris	AB563876	AL_Asian	AL_Asian_SEA4
AB563878	TRa-059	TRa-059_III_2008	RV/R3.PHL/2008/TRa-059	III	2008	Philippines	Luzon	III	Pampanga	Mexico	Canis familiaris	AB563878	AL_Asian	AL_Asian_SEA4
AB563879	TRa-060	TRa-060_III_2008	RV/R3.PHL/2008/TRa-060	III	2008	Philippines	Luzon	III	Pampanga	Magalang	Canis familiaris	AB563879	AL_Asian	AL_Asian_SEA4
AB563880	TRa-061	TRa-061_III_2008	RV/R3.PHL/2008/TRa-061	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris	AB563880	AL_Asian	AL_Asian_SEA4
AB563881	TRa-062	TRa-062_III_2008	RV/R3.PHL/2008/TRa-062	III	2008	Philippines	Luzon	III	Nueva Ecija	Licab	Canis familiaris	AB563881	AL_Asian	AL_Asian_SEA4
AB563882	TRa-063	TRa-063_III_2008	RV/R3.PHL/2008/TRa-063	III	2008	Philippines	Luzon	III	Nueva Ecija	Rizal	Canis familiaris	AB563882	AL_Asian	AL_Asian_SEA4
AB563883	TRa-064	TRa-064_III_2008	RV/R3.PHL/2008/TRa-064	III	2008	Philippines	Luzon	III	Pampanga	Masantol	Canis familiaris	AB563883	AL_Asian	AL_Asian_SEA4
AB563884	TRa-065	TRa-065_III_2008	RV/R3.PHL/2008/TRa-065	III	2008	Philippines	Luzon	III	Nueva Ecija	San Jose	Canis familiaris	AB563884	AL_Asian	AL_Asian_SEA4
AB563885	TRa-066	TRa-066_III_2008	RV/R3.PHL/2008/TRa-066	III	2008	Philippines	Luzon	III	Pampanga	San Simon	Canis familiaris	AB563885	AL_Asian	AL_Asian_SEA4
AB563886	TRa-067	TRa-067_V_2008	RV/R5.PHL/2008/TRa-067	V	2008	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris	AB563886	AL_Asian	AL_Asian_SEA4
AB563887	TRa-071	TRa-071_V_2008	RV/R5.PHL/2008/TRa-071	V	2008	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris	AB563887	AL_Asian	AL_Asian_SEA4
AB563888	TRa-072	TRa-072_V_2008	RV/R5.PHL/2008/TRa-072	V	2008	Philippines	Luzon	V	Albay	Tiwi	Canis familiaris	AB563888	AL_Asian	AL_Asian_SEA4
AB563889	TRa-073	TRa-073_V_2008	RV/R5.PHL/2008/TRa-073	V	2008	Philippines	Luzon	V	Sorsogon	Juban	Canis familiaris	AB563889	AL_Asian	AL_Asian_SEA4
AB563890	TRa-074	TRa-074_VII_2008	RV/R7.PHL/2008/TRa-074	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City 	Canis familiaris	AB563890	AL_Asian	AL_Asian_SEA4
AB563891	TRa-075	TRa-075_VII_2008	RV/R7.PHL/2008/TRa-075	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City	Canis familiaris	AB563891	AL_Asian	AL_Asian_SEA4
AB563892	TRa-076	TRa-076_VII_2008	RV/R7.PHL/2008/TRa-076	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563892	AL_Asian	AL_Asian_SEA4
AB563893	TRa-077	TRa-077_VII_2008	RV/R7.PHL/2008/TRa-077	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City	Canis familiaris	AB563893	AL_Asian	AL_Asian_SEA4
AB563894	TRa-078	TRa-078_VII_2008	RV/R7.PHL/2008/TRa-078	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563894	AL_Asian	AL_Asian_SEA4
AB563895	TRa-079	TRa-079_VII_2008	RV/R7.PHL/2008/TRa-079	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563895	AL_Asian	AL_Asian_SEA4
AB563896	TRa-080	TRa-080_VII_2008	RV/R7.PHL/2008/TRa-080	VII	2008	Philippines	Visayas	VII	Cebu	Lilo-an	Canis familiaris	AB563896	AL_Asian	AL_Asian_SEA4
AB683588	TRa-084	TRa-084_VII_2008	RV/R7.PHL/2008/TRa-084	VII	2008	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris	AB683588	AL_Asian	AL_Asian_SEA4
AB563900	TRa-085	TRa-085_VII_2008	RV/R7.PHL/2008/TRa-085	VII	2008	Philippines	Visayas	VII	Negros Oriental	Valencia	unknown	AB563900	AL_Asian	AL_Asian_SEA4
AB563901	TRa-086	TRa-086_III_2008	RV/R3.PHL/2008/TRa-086	III	2008	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris	AB563901	AL_Asian	AL_Asian_SEA4
AB563902	TRa-087	TRa-087_III_2008	RV/R3.PHL/2008/TRa-087	III	2008	Philippines	Luzon	III	Pampanga	Santa Rita	Canis familiaris	AB563902	AL_Asian	AL_Asian_SEA4
AB563903	TRa-088	TRa-088_III_2008	RV/R3.PHL/2008/TRa-088	III	2008	Philippines	Luzon	III	Pampanga	Minalin	Canis familiaris	AB563903	AL_Asian	AL_Asian_SEA4
AB563904	TRa-089	TRa-089_III_2008	RV/R3.PHL/2008/TRa-089	III	2008	Philippines	Luzon	III	Nueva Ecija	Laur	Canis familiaris	AB563904	AL_Asian	AL_Asian_SEA4
AB563905	TRa-090	TRa-090_III_2008	RV/R3.PHL/2008/TRa-090	III	2008	Philippines	Luzon	III	Pampanga	Macabebe	Canis familiaris	AB563905	AL_Asian	AL_Asian_SEA4
AB563906	TRa-091	TRa-091_III_2008	RV/R3.PHL/2008/TRa-091	III	2008	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris	AB563906	AL_Asian	AL_Asian_SEA4
AB563907	TRa-092	TRa-092_III_2008	RV/R3.PHL/2008/TRa-092	III	2008	Philippines	Luzon	III	Pampanga	Santa Rita	Canis familiaris	AB563907	AL_Asian	AL_Asian_SEA4
AB563908	TRa-093	TRa-093_III_2008	RV/R3.PHL/2008/TRa-093	III	2008	Philippines	Luzon	III	Pampanga	Angeles City	Canis familiaris	AB563908	AL_Asian	AL_Asian_SEA4
AB563909	TRa-094	TRa-094_I_2008	RV/R1.PHL/2008/TRa-094	I	2008	Philippines	Luzon	I	Pangasinan	Lingayen	Canis familiaris	AB563909	AL_Asian	AL_Asian_SEA4
AB563910	TRa-095	TRa-095_III_2008	RV/R3.PHL/2008/TRa-095	III	2008	Philippines	Luzon	III	Nueva Ecija	Laur	Canis familiaris	AB563910	AL_Asian	AL_Asian_SEA4
AB563911	TRa-096	TRa-096_VII_2008	RV/R7.PHL/2008/TRa-096	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City,	Canis familiaris	AB563911	AL_Asian	AL_Asian_SEA4
AB563912	TRa-097	TRa-097_VII_2008	RV/R7.PHL/2008/TRa-097	VII	2008	Philippines	Visayas	VII	Cebu	San Remigio	Canis familiaris	AB563912	AL_Asian	AL_Asian_SEA4
AB563913	TRa-098	TRa-098_VII_2008	RV/R7.PHL/2008/TRa-098	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City	Canis familiaris	AB563913	AL_Asian	AL_Asian_SEA4
AB563914	TRa-099	TRa-099_VII_2008	RV/R7.PHL/2008/TRa-099	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City,	Canis familiaris	AB563914	AL_Asian	AL_Asian_SEA4
AB563915	TRa-100	TRa-100_VII_2008	RV/R7.PHL/2008/TRa-100	VII	2008	Philippines	Visayas	VII	Cebu	Consolacion,	Canis familiaris	AB563915	AL_Asian	AL_Asian_SEA4
AB563916	TRa-101	TRa-101_VII_2008	RV/R7.PHL/2008/TRa-101	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563916	AL_Asian	AL_Asian_SEA4
AB563917	TRa-102	TRa-102_VII_2008	RV/R7.PHL/2008/TRa-102	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563917	AL_Asian	AL_Asian_SEA4
AB563918	TRa-103	TRa-103_VII_2008	RV/R7.PHL/2008/TRa-103	VII	2008	Philippines	Visayas	VII	Cebu	Mandaue City	Canis familiaris	AB563918	AL_Asian	AL_Asian_SEA4
AB563919	TRa-104	TRa-104_X_2008	RV/R10.PHL/2008/TRa-104	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563919	AL_Asian	AL_Asian_SEA4
AB563920	TRa-107	TRa-107_X_2008	RV/R10.PHL/2008/TRa-107	X	2008	Philippines	Mindanao	X	Misamis Oriental	Balingasag	Canis familiaris	AB563920	AL_Asian	AL_Asian_SEA4
AB563921	TRa-108	TRa-108_X_2008	RV/R10.PHL/2008/TRa-108	X	2008	Philippines	Mindanao	X	Misamis Oriental	Manticao	Canis familiaris	AB563921	AL_Asian	AL_Asian_SEA4
AB563922	TRa-109	TRa-109_X_2009	RV/R10.PHL/2009/TRa-109	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563922	AL_Asian	AL_Asian_SEA4
AB563923	TRa-110	TRa-110_X_2009	RV/R10.PHL/2009/TRa-110	X	2009	Philippines	Mindanao	X	Misamis Oriental	Magsaysay	Canis familiaris	AB563923	AL_Asian	AL_Asian_SEA4
AB563924	TRa-111	TRa-111_III_2008	RV/R3.PHL/2008/TRa-111	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris	AB563924	AL_Asian	AL_Asian_SEA4
AB563925	TRa-112	TRa-112_III_2008	RV/R3.PHL/2008/TRa-112	III	2008	Philippines	Luzon	III	Zambales	Castillejos	Canis familiaris	AB563925	AL_Asian	AL_Asian_SEA4
AB563926	TRa-113	TRa-113_III_2009	RV/R3.PHL/2009/TRa-113	III	2009	Philippines	Luzon	III	Nueva Ecija	Munoz	Canis familiaris	AB563926	AL_Asian	AL_Asian_SEA4
AB563927	TRa-114	TRa-114_III_2009	RV/R3.PHL/2009/TRa-114	III	2009	Philippines	Luzon	III	Zambales	San Marcelino	Canis familiaris	AB563927	AL_Asian	AL_Asian_SEA4
AB563928	TRa-115	TRa-115_III_2009	RV/R3.PHL/2009/TRa-115	III	2009	Philippines	Luzon	III	Pampanga	Santa Ana	Canis familiaris	AB563928	AL_Asian	AL_Asian_SEA4
AB563929	TRa-116	TRa-116_III_2009	RV/R3.PHL/2009/TRa-116	III	2009	Philippines	Luzon	III	Zambales	San Felipe	Canis familiaris	AB563929	AL_Asian	AL_Asian_SEA4
AB563930	TRa-117	TRa-117_III_2009	RV/R3.PHL/2009/TRa-117	III	2009	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris	AB563930	AL_Asian	AL_Asian_SEA4
AB563931	TRa-118	TRa-118_III_2009	RV/R3.PHL/2009/TRa-118	III	2009	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris	AB563931	AL_Asian	AL_Asian_SEA4
AB563933	TRa-120	TRa-120_V_2008	RV/R5.PHL/2008/TRa-120	V	2008	Philippines	Luzon	V	Catanduanes	Virac	Canis familiaris	AB563933	AL_Asian	AL_Asian_SEA4
AB563934	TRa-121	TRa-121_V_2008	RV/R5.PHL/2008/TRa-121	V	2008	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris	AB563934	AL_Asian	AL_Asian_SEA4
AB563936	TRa-123	TRa-123_V_2008	RV/R5.PHL/2008/TRa-123	V	2008	Philippines	Luzon	V	Catanduanes	Virac	Canis familiaris	AB563936	AL_Asian	AL_Asian_SEA4
AB563937	TRa-127	TRa-127_III_2009	RV/R3.PHL/2009/TRa-127	III	2009	Philippines	Luzon	III	Pampanga	Masantol	Canis familiaris	AB563937	AL_Asian	AL_Asian_SEA4
AB563938	TRa-128	TRa-128_III_2009	RV/R3.PHL/2009/TRa-128	III	2009	Philippines	Luzon	III	Nueva Ecija	Palayan	Canis familiaris	AB563938	AL_Asian	AL_Asian_SEA4
AB563939	TRa-129	TRa-129_III_2009	RV/R3.PHL/2009/TRa-129	III	2009	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris	AB563939	AL_Asian	AL_Asian_SEA4
AB563940	TRa-130	TRa-130_III_2009	RV/R3.PHL/2009/TRa-130	III	2009	Philippines	Luzon	III	Pampanga	Angeles City	Canis familiaris	AB563940	AL_Asian	AL_Asian_SEA4
AB683586	TRa-132	TRa-132_III_2009	RV/R3.PHL/2009/TRa-132	III	2009	Philippines	Luzon	III	Nueva Ecija	Talugtug	Canis familiaris	AB683586	AL_Asian	AL_Asian_SEA4
AB563942	TRa-133	TRa-133_III_2009	RV/R3.PHL/2009/TRa-133	III	2009	Philippines	Luzon	III	Pampanga	Santo Tomas	Canis familiaris	AB563942	AL_Asian	AL_Asian_SEA4
AB563943	TRa-134	TRa-134_III_2009	RV/R3.PHL/2009/TRa-134	III	2009	Philippines	Luzon	III	Nueva Ecija	Pantabangan	Canis familiaris	AB563943	AL_Asian	AL_Asian_SEA4
AB563944	TRa-135	TRa-135_III_2009	RV/R3.PHL/2009/TRa-135	III	2009	Philippines	Luzon	III	Pampanga	Santa Ana	Canis familiaris	AB563944	AL_Asian	AL_Asian_SEA4
AB563945	TRa-136	TRa-136_III_2009	RV/R3.PHL/2009/TRa-136	III	2009	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris	AB563945	AL_Asian	AL_Asian_SEA4
AB563946	TRa-142	TRa-142_II_2009	RV/R2.PHL/2009/TRa-142	II	2009	Philippines	Luzon	II	Cagayan	Allacapan	Canis familiaris	AB563946	AL_Asian	AL_Asian_SEA4
AB563947	TRa-143	TRa-143_VII_2009	RV/R7.PHL/2009/TRa-143	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Cow	AB563947	AL_Asian	AL_Asian_SEA4
AB563948	TRa-144	TRa-144_VII_2009	RV/R7.PHL/2009/TRa-144	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris	AB563948	AL_Asian	AL_Asian_SEA4
AB563949	TRa-145	TRa-145_VII_2009	RV/R7.PHL/2009/TRa-145	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris	AB563949	AL_Asian	AL_Asian_SEA4
AB563950	TRa-147	TRa-147_VII_2009	RV/R7.PHL/2009/TRa-147	VII	2009	Philippines	Visayas	VII	Negros Oriental	Bais City	Canis familiaris	AB563950	AL_Asian	AL_Asian_SEA4
AB563951	TRa-150	TRa-150_I_2009	RV/R1.PHL/2009/TRa-150	I	2009	Philippines	Luzon	I	Pangasinan	Asingan	Canis familiaris	AB563951	AL_Asian	AL_Asian_SEA4
AB563952	TRa-151	TRa-151_I_2009	RV/R1.PHL/2009/TRa-151	I	2009	Philippines	Luzon	I	Pangasinan	Asingan	Canis familiaris	AB563952	AL_Asian	AL_Asian_SEA4
AB563953	TRa-153	TRa-153_I_2009	RV/R1.PHL/2009/TRa-153	I	2009	Philippines	Luzon	I	Pangasinan	Laoac	Canis familiaris	AB563953	AL_Asian	AL_Asian_SEA4
AB563954	TRa-154	TRa-154_I_2009	RV/R1.PHL/2009/TRa-154	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris	AB563954	AL_Asian	AL_Asian_SEA4
AB838709	TRa-156	TRa-156_I_2009	RV/R1.PHL/2009/TRa-156	I	2009	Philippines	Luzon	I	Pangasinan	Burgos	Canis familiaris	AB838709	AL_Asian	AL_Asian_SEA4
AB563955	TRa-157	TRa-157_I_2009	RV/R1.PHL/2009/TRa-157	I	2009	Philippines	Luzon	I	Pangasinan	Agno	Canis familiaris	AB563955	AL_Asian	AL_Asian_SEA4
AB563956	TRa-159	TRa-159_I_2009	RV/R1.PHL/2009/TRa-159	I	2009	Philippines	Luzon	I	Pangasinan	San Jacinto	Canis familiaris	AB563956	AL_Asian	AL_Asian_SEA4
AB563957	TRa-161	TRa-161_I_2009	RV/R1.PHL/2009/TRa-161	I	2009	Philippines	Luzon	I	Pangasinan	Urdaneta	Canis familiaris	AB563957	AL_Asian	AL_Asian_SEA4
AB563958	TRa-164	TRa-164_VII_2009	RV/R7.PHL/2009/TRa-164	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris	AB563958	AL_Asian	AL_Asian_SEA4
AB563959	TRa-165	TRa-165_VII_2009	RV/R7.PHL/2009/TRa-165	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris	AB563959	AL_Asian	AL_Asian_SEA4
AB563960	TRa-166	TRa-166_VII_2009	RV/R7.PHL/2009/TRa-166	VII	2009	Philippines	Visayas	VII	Cebu	Mandaue City	Canis familiaris	AB563960	AL_Asian	AL_Asian_SEA4
AB563961	TRa-167	TRa-167_VII_2009	RV/R7.PHL/2009/TRa-167	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563961	AL_Asian	AL_Asian_SEA4
AB563962	TRa-168	TRa-168_VII_2009	RV/R7.PHL/2009/TRa-168	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563962	AL_Asian	AL_Asian_SEA4
AB563963	TRa-170	TRa-170_VII_2009	RV/R7.PHL/2009/TRa-170	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563963	AL_Asian	AL_Asian_SEA4
AB563964	TRa-172	TRa-172_VII_2009	RV/R7.PHL/2009/TRa-172	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563964	AL_Asian	AL_Asian_SEA4
AB563965	TRa-173	TRa-173_VII_2009	RV/R7.PHL/2009/TRa-173	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563965	AL_Asian	AL_Asian_SEA4
AB563966	TRa-176	TRa-176_VII_2009	RV/R7.PHL/2009/TRa-176	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563966	AL_Asian	AL_Asian_SEA4
AB563967	TRa-177	TRa-177_VII_2009	RV/R7.PHL/2009/TRa-177	VII	2009	Philippines	Visayas	VII	Cebu	Lapu-Lapu City	Canis familiaris	AB563967	AL_Asian	AL_Asian_SEA4
AB563968	TRa-178	TRa-178_VII_2009	RV/R7.PHL/2009/TRa-178	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris	AB563968	AL_Asian	AL_Asian_SEA4
AB838710	TRa-179	TRa-179_VII_2009	RV/R7.PHL/2009/TRa-179	VII	2009	Philippines	Visayas	VII	Cebu	Lapu-Lapu City	Canis familiaris	AB838710	AL_Asian	AL_Asian_SEA4
AB563969	TRa-183	TRa-183_V_2009	RV/R5.PHL/2009/TRa-183	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris	AB563969	AL_Asian	AL_Asian_SEA4
AB683589	TRa-184	TRa-184_X_2009	RV/R10.PHL/2009/TRa-184	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB683589	AL_Asian	AL_Asian_SEA4
AB683590	TRa-186	TRa-186_X_2009	RV/R10.PHL/2009/TRa-186	X	2009	Philippines	Mindanao	X	Misamis Oriental	Binuangan	Canis familiaris	AB683590	AL_Asian	AL_Asian_SEA4
AB683591	TRa-189	TRa-189_X_2009	RV/R10.PHL/2009/TRa-189	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB683591	AL_Asian	AL_Asian_SEA4
AB563970	TRa-191	TRa-191_X_2009	RV/R10.PHL/2009/TRa-191	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563970	AL_Asian	AL_Asian_SEA4
