Country	Virus Name	Species	Species_latin_binomial	Year	Phylogenetic clade - subclade	Source	Accession number	Reference
China	CJS0621D	Dog 	(Canis familiaris)	2006	Asian – SEA1b	Original brain	JQ970481	Tang et al., unpublished
China	CJS0636D	Dog 	(Canis familiaris)	2006	Asian – SEA1b	Original brain	JQ970482	Tang et al., unpublished
China	CJS0848D	Dog 	(Canis familiaris)	2008	Asian – SEA1b	Original brain	JQ970483	Tang et al., unpublished
China	CJX0903D	Dog 	(Canis familiaris)	2009	Asian – SEA1b	Original brain	JQ970484	Tang et al., unpublished
China	CJX0906D	Dog 	(Canis familiaris)	2009	Asian – SEA1b	Original brain	JQ970485	Tang et al., unpublished
China	CNM1101C	Cow	(Bos taurus)	2011	Asian – SEA1b	Original brain	KC193267	Yin et al., unpublished
China	CNM1104D	Dog	 (Canis familiaris)	2011	Asian – SEA1b	Original brain	KC252634	Yin et al., unpublished
China	CQ92	Dog 	(Canis familiaris)	1992	Asian – SEA1a	?	GU345746	-7
China	CQH1202D	Dog 	(Canis familiaris)	2012	Arctic-related – AL2	?	KM272192	Guo et al., unpublished
China	CSD0708D	Dog 	(Canis familiaris)	2007	Asian – SEA1b	Original brain	JQ970486	Tang et al., unpublished
China	CSX0904D	Dog 	(Canis familiaris)	2009	Asian – SEA1b	Original brain	JQ970487	Tang et al., unpublished
China	CYN1009D	Dog 	(Canis familiaris)	2010	Asian – SEA3	Original brain	JQ730682	-8
China	DRV_AH08	Dog 	(Canis familiaris)	2008	Asian – SEA2b	Mouse	HQ450385	-9
China	F02	Ferret badger	(Melogale moschata)	2008	Asian – SEA2b	Original brain	FJ712195	Wang et al., unpublished
China	F04	Ferret badger	(Melogale moschata)	2008	Asian – SEA1b	Original brain	J712196	Wang et al., unpublished
China	FJ008	Dog 	(Canis familiaris)	2008	Asian – SEA1b	?	FJ866835	Zhang et al., unpublished
China	FJ009	Dog 	(Canis familiaris)	2008	Asian – SEA1b	?	FJ866836	Zhang et al., unpublished
China	FJDRV	Dog 	(Canis familiaris)	2008	Asian – SEA1b	?	JN609295	Qi, unpublished
China	GD_SH_01	Pig	(Sus domesticus)	2011	Asian – SEA2a	Original brain	JX088694	-10
China	GX4	Dog 	(Canis familiaris)	1994	Asian – SEA2a	?	GU358653	-7
China	GXHXN	Cattle	 (Bos taurus)	2009	Asian – SEA1b	Original brain	KC169986	-11
China	HN10	Human 	(Homo sapiens)	2006	Asian – SEA2a	?	EU643590	-12
China	IMDRV_13	Fallow deer	(Dama dama)	2013	Asian – SEA1b	Original brain	KJ564280	-13
China	JZ13_Lv	Human 	(Homo sapiens)	2013	Asian – SEA1b	?	KJ004416	Wang et al., unpublished
China	RV_J	Human 	(Homo sapiens)	1986	Asian – SEA1a	?	GU345747	-7
China	SH06	Dog 	(Canis familiaris)	2006	Asian – SEA1b	?	GU345748	-7
China	WH11	Donkey	(Equus asinus)	2011	Asian – SEA1b	Original brain	JQ647510	-14
China	WQ14_RF	Red fox	(Vulpes vulpes)	2014	Cosmopolitan – CA1	Original brain	KM016899	Liu et al., unpublished
China	Shaanxi_HZ	Dog 	(Canis familiaris)	2009	Asian – SEA1b	?	KC977995	-15
Egypt	86092EGY	Human 	(Homo sapiens)	1979	Cosmopolitan – AF4	Mouse	KX148101	This study
Estonia	93038EST	Red fox	(Vulpes vulpes)	1992	Cosmopolitan – NEE	Original brain	KX148148	This study
Estonia	93039EST	Raccoon dog	(Nyctereutes procyonoides)	1991	Cosmopolitan – NEE	Original brain	KX148149	This study
Estonia	93041EST	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – NEE	Original brain	KX148155	This study
Estonia	93042EST	Raccoon dog	(Nyctereutes procyonoides)	1991	Cosmopolitan – NEE	Original brain	KX148156	This study
Estonia	93043EST	Raccoon dog	(Nyctereutes procyonoides)	1993	Cosmopolitan – NEE	Original brain	KX148157	This study
Estonia	93105EST	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – NEE	Original brain	KX148158	This study
Estonia	RV437	Raccoon dog	(Nyctereutes procyonoides)	ND	Cosmopolitan – NEE	Mouse	KF154997	-16
Ethiopia	88008ETH	Dog 	(Canis familiaris)	1988	Cosmopolitan – AF1a	Original brain	KX148200	This study
Ethiopia	RV2985	Ethiopian wolf 	(Canis simensis)	2014	Cosmopolitan – AF1a	Original brain	KP723638	-17
Finland	93046FIN	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – NEE	Original brain	KX148146	This study
Finland	93048FIN	Raccoon dog	(Nyctereutes procyonoides)	1988	Cosmopolitan – NEE	Original brain	KX148147	This study
France	91047FRA	Red fox	(Vulpes vulpes)	1991	Cosmopolitan – WE	Original brain	KX148127	This study
France	92044FRA	Red fox	(Vulpes vulpes)	1992	Cosmopolitan – WE	Original brain	KX148128	This study
France	94029FRA	Red fox	(Vulpes vulpes)	1994	Cosmopolitan – WE	Original brain	KX148134	This study
France	96002FRA	Red fox	(Vulpes vulpes)	1996	Cosmopolitan – WE	Original brain	KX148126	This study
French Guiana	09035FRA	Bat 	(Phyllostomidae stenodermatinae)	2009	Bat - DR	Original brain	KX148100	This study
French Guiana	90001FRA	Dog 	(Canis familiaris)	1990	Bat - DR	Original brain	KX148268	This study
Gabon	95049GAB	Dog 	(Canis familiaris)	1995	Cosmopolitan – AF1a	Original brain	KX148202	This study
Germany	92001GER	Red fox	(Vulpes vulpes)	1991	Cosmopolitan – WE	Original brain	KX148135	This study
Germany	92002GER	Red fox	(Vulpes vulpes)	1991	Cosmopolitan – CE	Original brain	KX148113	This study
Germany	92010GER	Red fox	(Vulpes vulpes)	1991	Cosmopolitan – CE	Original brain	KX148124	This study
Germany	92012GER	Red fox	(Vulpes vulpes)	1991	Cosmopolitan – CE	Original brain	KX148122	This study
Germany	92017GER	Red fox	(Vulpes vulpes)	1991	Cosmopolitan – CE	Original brain	KX148123	This study
Greenland	86083GRO	Dog 	(Canis familiaris)	1980	Arctic-related – A	Mouse	KX148105	This study
Guinea	90024GUI	Dog 	(Canis familiaris)	1990	Africa-2	Original brain	KX148244	This study
Hungary	92015HON	Human 	(Homo sapiens)	1991	Cosmopolitan – CA3	Original brain	KX148160	This study
Hungary	93080HON	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – EE	Original brain	KX148143	This study
Hungary	93083HON	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – EE	Original brain	KX148136	This study
Hungary	93089HON	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – EE	Original brain	KX148137	This study
Hungary	93091HON	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – EE	Original brain	KX148138	This study
Hungary	93093HON	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – EE	Original brain	KX148139	This study
India	97002IND	Human 	(Homo sapiens)	1997	Indian Subcontinent	Original brain	KX148246	This study
India	NNV_RAB_H	Human 	(Homo sapiens)	2006	Arctic-related – AL1a	Original brain	EF437215	Desai et al., unpublished
India	RV61	Human 	(Homo sapiens)	1987	Arctic-related – AL1a	Mouse	KF154996	-16
India	Serotype_1	Human 	(Homo sapiens)	2004	Arctic-related – AL1a	Saliva?	AY956319	Pfefferle et al., unpublished
Indonesia	03003INDO	Dog 	(Canis familiaris)	2003	Asian – SEA1a	Mouse	KX148266	This study
Irak	RV2516	Cow	(Bos taurus)	2010	Cosmopolitan – CA2	Original brain	KF155000	-16
Iran	86081IRA	Dog 	(Canis familiaris)	1985	Cosmopolitan – ME1a	Mouse	KX148189	This study
Iran	86082IRA	Sheep	(Ovis aries)	1974	Cosmopolitan – CA1	Mouse	KX148159	This study
Iran	87002IRA	Wolf	(Canis pallipes)	1984	Cosmopolitan – ME1a	Mouse	KX148186	This study
Iran	93008IRA	Jackal	(Canis aureus)	1976	Cosmopolitan – ME1a	Original brain	KX148190	This study
Iran	93009IRA	Wolf	(Canis pallipes)	1991	Cosmopolitan – ME1a	Original brain	KX148188	This study
Iran	93019IRA	Jackal	(Canis aureus)	1993	Cosmopolitan – CA2	Original brain	KX148212	This study
Iran	96299IRA	Wolf	(Canis pallipes)	1996	Cosmopolitan – ME1a	Original brain	KX148185	This study
Iran	96320IRA	Jackal	(Canis aureus)	1996	Cosmopolitan – ME1a	Original brain	KX148187	This study
Israel	93030ISR	Fox	(Und.)	1993	Cosmopolitan – ME1a	Original brain	KX148180	This study
Israel	93031ISR	Fox	(Und.)	1993	Cosmopolitan – ME1a	Original brain	KX148183	This study
Israel	93032ISR	Jackal	(Canis aureus)	1993	Cosmopolitan – ME1b	Original brain	KX148191	This study
Israel	93033ISR	Dog 	(Canis familiaris)	1993	Cosmopolitan – ME1b	Original brain	KX148192	This study
Israel	96306ISR	Dog 	(Canis familiaris)	1996	Cosmopolitan – ME1a	Original brain	KX148178	This study
Israel	96307ISR	Dog 	(Canis familiaris)	1996	Cosmopolitan – ME1a	Original brain	KX148182	This study
Israel	96312ISR	Dog 	(Canis familiaris)	1996	Cosmopolitan – ME1a	Original brain	KX148181	This study
Israel	96314ISR	Jackal	(Canis aureus)	1996	Cosmopolitan – ME1a	Original brain	KX148179	This study
Israel	96317ISR	Fox	(Und.)	1996	Cosmopolitan – ME1a	Original brain	KX148177	This study
Israel	96324ISR	Cattle	 (Bos taurus)	1996	Cosmopolitan – ME1a	Original brain	KX148184	This study
Israel	RV2324	Dog 	(Canis familiaris)	1950	Cosmopolitan – AF4	?	KF154998	-16
Ivory Coast	01007CI	Dog 	(Canis familiaris)	2001	Africa-2	Original brain	KX148235	This study
Ivory Coast	92037CI	Dog 	(Canis familiaris)	1992	Africa-2	Original brain	KX148232	This study
Ivory Coast	92038CI	Dog 	(Canis familiaris)	1992	Africa-2	Original brain	KX148233	This study
Kenya	14015ITA	Human 	(Homo sapiens)	2014	Cosmopolitan – AF1a	Original brain	KX148207	This study
Laos	02003LAO	Dog 	(Canis familiaris)	2002	Asian – SEA3	Original brain	KX148258	This study
Laos	02004LAO	Dog 	(Canis familiaris)	2002	Asian – SEA3	Original brain	KX148256	This study
Laos	02005LAO	Dog 	(Canis familiaris)	2002	Asian – SEA3	Original brain	KX148257	This study
Laos	99010LAO	Dog 	(Canis familiaris)	1999	Asian – SEA3	Original brain	KX148255	This study
Laos	Lao2	Dog 	(Canis familiaris)	2011	Asian – SEA3	Original brain	AB981663	-18
Laos	Lao4	Dog 	(Canis familiaris)	2011	Asian – SEA3	Original brain	AB981664	-18
Madagascar	04033MAD	Dog 	(Canis familiaris)	2004	Cosmopolitan – AF1c	Original brain	KX148209	This study
Madagascar	86046MAD	Dog 	(Canis familiaris)	1986	Cosmopolitan – AF1c	Original brain	KX148211	This study
Madagascar	98002MAD	Human 	(Homo sapiens)	1998	Cosmopolitan – AF1c	Original brain	KX148210	This study
Mauritania	93011MAU	Dog 	(Canis familiaris)	1993	Africa-2	Original brain	KX148236	This study
Mauritania	93012MAU	Dog 	(Canis familiaris)	1993	Africa-2	Original brain	KX148237	This study
Mexico	91010MEX	Human 	(Homo sapiens)	1991	Cosmopolitan – AM2a	Mouse	KX148112	This study
Mexico	91014MEX	Dog 	(Canis familiaris)	1991	Cosmopolitan – AM2a	Original brain	KX148110	This study
Mexico	91015MEX	Dog 	(Canis familiaris)	1991	Cosmopolitan – AM2a	Original brain	KX148111	This study
Mexico	91026MEX	Dog 	(Canis familiaris)	1991	Cosmopolitan – AM2a	Mouse	KX148102	This study
Mexico	3645DR	Human 	(Homo sapiens)	2009	Bat – DR	Mouse	JQ685953	-19
Mexico	Coati_3639	Coati	(Nasua narica)	2009	Bat – TB	Mouse	JQ685963	-19
Mexico	DRV_Mexico	Dog 	(Canis familiaris)	ND	Cosmopolitan – AM2a	Mouse	HQ450386	-20
Mexico	MEXSK13938	Spotted skunk	(Spilogale putorius)	2007	RAC-SK – MexSK-1	Mouse	JQ685954	-19
Mexico	MEXSK3636	Spotted skunk	(Spilogale putorius)	2009	Cosmopolitan – AM2b	Mouse	JQ685975	-19
Mexico	MEXSK3644	Spotted skunk	(Spilogale putorius)	2009	RAC-SK – MexSK-1	Mouse	JQ685929	-19
Montenegro	86058YOU	Cow	(Bos taurus)	1978	Cosmopolitan	Mouse	KX148104	This study
Mozambique	86031MOZ	Dog 	(Canis familiaris)	1986	Cosmopolitan – AF1a	Mouse	KX148203	This study
Morocco	04031MAR	Dog 	(Canis familiaris)	2004	Cosmopolitan – AF1a	Original brain	KX148195	This study
Morocco	08342MAR	Dog 	(Canis familiaris)	2008	Cosmopolitan – AF1a	Original brain	KX148193	This study
Morocco	89017MAR	Dog 	(Canis familiaris)	1989	Cosmopolitan – AF1a	Original brain	KX148194	This study
Morocco	90016MAR	Dog 	(Canis familiaris)	1990	Cosmopolitan – AF1a	Original brain	KX148196	This study
Morocco	RV2627	Cow	(Bos taurus)	2009	Cosmopolitan – AF1a	Original brain	KF155001	-16
Myanmar	99009BIR	Dog 	(Canis familiaris)	1999	Asian – SEA3	Original brain	KX148247	This study
Myanmar	99015BIR	Dog 	(Canis familiaris)	1999	Asian – SEA3	Original brain	KX148248	This study
NA	PV_RefSeq	Vaccine strain	Vaccine strain	ND	Cosmopolitan – Vac	NA	NC_001542	-21
Namibia	92030NAM	Dog 	(Canis familiaris)	1992	Cosmopolitan – AF1b	Original brain	KX148204	This study
Namibia	178J09	Jackal	(Und.)	2009	Cosmopolitan – AF1b	?	JX473838	Scott et al., unpublished
Namibia	192J09	Jackal	(Und.)	2009	Cosmopolitan – AF1b	?	JX473839	Scott et al., unpublished
Namibia	239K09	Namibian kudu	(Tragelaphus strepsiceros)	2009	Cosmopolitan – AF1b	?	JX473840	Scott et al., unpublished
Namibia	240K09	Namibian kudu	(Tragelaphus strepsiceros)	2009	Cosmopolitan – AF1b	?	JX473841	Scott et al., unpublished
Nepal	09029NEP	Buffalo	(Und.)	2009	Indian Subcontinent	Original brain	KX148245	This study
Nepal	11001NEP	Cattle	 (Bos taurus)	2011	Indian Subcontinent	Original brain	KX148108	This study
Nepal	99001NEP	Dog 	(Canis familiaris)	1998	Arctic-related – AL3	Original brain	KX148228	This study
Niger	90010NIG	Dog 	(Canis familiaris)	1990	Africa-2	Original brain	KX148231	This study
Niger	90012NIG	Dog 	(Canis familiaris)	1990	Africa-2	Original brain	KX148229	This study
Nigeria	86003BRE	Dog 	(Canis familiaris)	1986	Cosmopolitan – AF1a	Original brain	KX148201	This study
Nigeria	DRV_NG11	Dog 	(Canis familiaris)	2011	Africa-2	Original brain	KC196743	-23
Oman	91034OMA	Camel	(Camelus dromedarius)	1990	Cosmopolitan – ME1a	Original brain	KX148169	This study
Oman	91035OMA	Fox	(Und.)	1990	Cosmopolitan – ME1a	Original brain	KX148170	This study
Pakistan	Pk_23	Cow	(Bos taurus)	2010	Arctic-related – AL1a	Mouse	HE802675	Hussain et al., unpublished
Pakistan	Pk_24	Cow	(Bos taurus)	2007	Arctic-related – AL1a	Mouse	HE802676	Hussain et al., unpublished
Philippines	04030PHI	Dog 	(Canis familiaris)	2004	Asian – SEA4	Mouse	KX148260	This study
Philippines	94272PHI	Dog 	(Canis familiaris)	1994	Asian – SEA4	Original brain	KX148259	This study
Philippines	94275PHI	Dog 	(Canis familiaris)	1994	Asian – SEA4	Original brain	KX148263	This study
Philippines	94278PHI	Dog 	(Canis familiaris)	1994	Asian – SEA4	Original brain	KX148262	This study
Philippines	94281PHI	Dog 	(Canis familiaris)	1994	Asian – SEA4	Original brain	KX148261	This study
Poland	96026POL	Raccoon dog	(Nyctereutes procyonoides)	1986	Cosmopolitan – NEE	Original brain	KX148150	This study
Poland	96042POL	Red fox	(Vulpes vulpes)	1996	Cosmopolitan – NEE	Original brain	KX148151	This study
Poland	96045POL	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – CE	Original brain	KX148119	This study
Poland	96056POL	Red fox	(Vulpes vulpes)	1993	Cosmopolitan – CE	Original brain	KX148121	This study
Poland	96077POL	Raccoon dog	(Nyctereutes procyonoides)	1994	Cosmopolitan – CE	Original brain	KX148118	This study
Poland	96097POL	Raccoon dog	(Nyctereutes procyonoides)	1996	Cosmopolitan – NEE	Original brain	KX148153	This study
Poland	96104POL	Red fox	(Vulpes vulpes)	1995	Cosmopolitan – CE	Original brain	KX148114	This study
Poland	96135POL	Red fox	(Vulpes vulpes)	1992	Cosmopolitan – EE	Original brain	KX148141	This study
Poland	96140POL	Raccoon dog	(Nyctereutes procyonoides)	1993	Cosmopolitan – CE	Original brain	KX148120	This study
Poland	96142POL	Raccoon dog	(Nyctereutes procyonoides)	1996	Cosmopolitan – NEE	Original brain	KX148152	This study
Poland	96177POL	Red fox	(Vulpes vulpes)	1994	Cosmopolitan – EE	Original brain	KX148142	This study
Poland	96250POL	Red fox	(Vulpes vulpes)	1996	Cosmopolitan – CE	Original brain	KX148115	This study
Poland	96256POL	Red fox	(Vulpes vulpes)	1996	Cosmopolitan – CE	Original brain	KX148116	This study
Poland	97046POL	Red fox	(Vulpes vulpes)	1997	Cosmopolitan – CE	Original brain	KX148117	This study
Poland	97078POL	Raccoon dog	(Nyctereutes procyonoides)	1997	Cosmopolitan – NEE	Original brain	KX148154a	IP
Russia	1350KRA	Dog 	(Canis familiaris)	2008	Cosmopolitan – CA1	Original brain	JQ944705	Chupin et al., unpublished
Russia	1352KRA	Dog 	(Canis familiaris)	2008	Cosmopolitan – CA2	Original brain	JQ944706	Chupin et al., unpublished
Russia	1410KOM	Deer	(Und.)	2008	Arctic-related – A	Original brain	JQ944707	Chupin et al., unpublished
Russia	1564NNO	Red fox	(Vulpes vulpes)	2008	Cosmopolitan – CA3	Original brain	JQ944708	Chupin et al., unpublished
Russia	184VNO	Raccoon dog	(Nyctereutes procyonoides)	2009	Cosmopolitan – NEE	Original brain	JQ944704	Chupin et al., unpublished
Russia	8052f	Red fox	(Vulpes vulpes)	2011	Cosmopolitan – CA1	Mouse	KC595280	-24
Russia	8053c	Cat	(Felis catus)	2011	Cosmopolitan – CA1	Mouse	KC595281	-24
Russia	8054f	Red fox	(Vulpes vulpes)	2011	Cosmopolitan – CA1	Mouse	KC595282	-24
Russia	8057f	Red fox	(Vulpes vulpes)	2011	Cosmopolitan – CA1	Mouse	KC595283	-24
Rwanda	94289RWA	Dog 	(Canis familiaris)	1994	Cosmopolitan – AF1b	Original brain	KX148205	This study
Saudi Arabia	04034ARS	Fox	(Und.)	2004	Cosmopolitan – ME1a	Original brain	KX148175	This study
Saudi Arabia	87006ARS	Fox	(Und.)	1987	Cosmopolitan – ME1a	Original brain	KX148168	This study
Saudi Arabia	87007ARS	Horse	(Equus ferus)	1987	Cosmopolitan – ME1a	Original brain	KX148172	This study
Saudi Arabia	97139ARS	Red fox	(Vulpes vulpes)	1997	Cosmopolitan – ME1a	Original brain	KX148173	This study
Saudi Arabia	98001ARS	Fox	(Und.)	1998	Cosmopolitan – ME1a	Original brain	KX148174	This study
Saudi Arabia	99004ARS	Red fox	(Vulpes vulpes)	1998	Cosmopolitan – ME1a	Original brain	KX148175	This study
Senegal	93003SEN	Dog 	(Canis familiaris)	1991	Africa-2	Original brain	KX148238	This study
Senegal	93005SEN	Dog 	(Canis familiaris)	1992	Africa-2	Original brain	KX148239	This study
Serbia	86109YOU	Red fox	(Vulpes vulpes)	1986	Cosmopolitan – EE	Original brain	KX148140	This study
Serbia	86133SER	Red fox	(Vulpes vulpes)	1972	Cosmopolitan	Mouse	KX148161	This study
Slovenia	94086SLN	Red fox	(Vulpes vulpes)	1994	Cosmopolitan – WE	Original brain	KX148131	This study
Slovenia	94091SLN	Red fox	(Vulpes vulpes)	1994	Cosmopolitan – WE	Original brain	KX148129	This study
Slovenia	94094SLN	Red fox	(Vulpes vulpes)	1994	Cosmopolitan – WE	Original brain	KX148132	This study
Slovenia	94096SLN	Red fox	(Vulpes vulpes)	1994	Cosmopolitan – WE	Original brain	KX148133	This study
Slovenia	94099SLN	Red fox	(Vulpes vulpes)	1994	Cosmopolitan – EE	Original brain	KX148144	This study
Somalia	93006SOM	Jackal	(Canis mesomelas)	1993	Cosmopolitan – AF1a	Original brain	KX148199	This study
Somalia	93128SOM	Dog 	(Canis familiaris)	1993	Cosmopolitan – AF1a	Original brain	KX148198	This study
South Africa	14018AFS	Feline	(Und.)	2000	Africa-3	Original brain	KX148223	This study
South Africa	15001AFS	Yellow mongoose	(Cynictis penicillata)	2013	Africa-3	Original brain	KX148220	This study
South Africa	15002AFS	Mongoose	(Und.)	2014	Africa-3	Original brain	KX148221	This study
South Africa	15003AFS	Ground squirrel 	(Xerus Inauris)	2014	Africa-3	Original brain	KX148222	This study
South Africa	87021AFS	Human 	(Homo sapiens)	1981	Cosmopolitan – AF1b	Mouse	KX148103	This study
South Korea	08F40	Cattle	 (Bos taurus)	2008	Arctic-related – AL2	Original brain	KC171643	-25
South Korea	BD0406CC	Raccoon dog	(Nyctereutes procyonoides)	2004	Arctic-related – AL2	Original brain	KC171644	-25
South Korea	BV9901PJ	Raccoon dog	(Nyctereutes procyonoides)	1999	Arctic-related – AL2	Original brain	KC171645	-25
Sri Lanka	H_1413_09	Golden palm civet	(Paradoxurus zeylonensis)	2009	Indian Subcontinent	Original brain	AB635373	-26
Sri Lanka	RV2417	Dog 	(Canis familiaris)	2008	Indian Subcontinent	Original brain	KF154999	-16
Taiwan	R2012_26	Ferret badger	(Melogale moschata)	2012	Asian – SEA5	Original brain	KF620487	-27
Taiwan	R2012_88	Ferret badger	(Melogale moschata)	2012	Asian – SEA5	Original brain	KF620488	-27
Taiwan	R2013_01	Ferret badger	(Melogale moschata)	2013	Asian – SEA5	Original brain	KF620489	-27
Tanzania	96013TAN	Dog 	(Canis familiaris)	1996	Cosmopolitan – AF1b	Original brain	KX148206	This study
Tanzania	RV2772	Dog 	(Canis familiaris)	2009	Cosmopolitan – AF1b	Original brain	KF155002	-16
Thailand	8764THA	Human	(Homo sapiens)	1983	Asian – SEA3	Mouse	EU293111	-28
Thailand	QS_05	Dog 	(Canis familiaris)	ND	Asian – SEA3	Mouse	JN786877	-29
Turkey	93100TUR	Dog 	(Canis familiaris)	1993	Cosmopolitan – ME2	Original brain	KX148164	This study
Turkey	94001TUR	Dog 	(Canis familiaris)	1993	Cosmopolitan – ME2	Original brain	KX148166	This study
Turkey	94002TUR	Dog 	(Canis familiaris)	1993	Cosmopolitan – ME2	Original brain	KX148162	This study
Turkey	94005TUR	Dog 	(Canis familiaris)	1993	Cosmopolitan – ME2	Original brain	KX148167	This study
Turkey	94009TUR	Dog 	(Canis familiaris)	1993	Cosmopolitan – ME2	Original brain	KX148165	This study
Turkey	94016TUR	Dog 	(Canis familiaris)	1993	Cosmopolitan – ME2	Original brain	KX148163	This study
United Arab Emirates	91024EAU	Fox	(Und.)	1991	Cosmopolitan – ME1a	Mouse	KX148171	This study
USA	91001USA	Skunk	(Und.)	1982	Cosmopolitan – AM1	Mouse	KX148213	This study
USA	91004USA	Striped skunk	(Mephitis mephitis)	1991	Arctic-related – A	Original brain	KX148224	This study
