Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
JX473839	192J09	Namibia			Namibia	Jackal	Canidae sp.	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
KX148175	04034ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	2004	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148176	04034ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	2004	Cosmopolitan	ME1a		This study	Complete genome	Kuzmin
KX148168	87006ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	1987	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148174	98001ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	1998	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148171	91024EAU	United Arab Emirates			United Arab Emirates	Fox	Canidae sp.	1991	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin
KX148212	93019IRA	Iran			Iran	Jackal	Canis aureus	1993	Cosmopolitan	CA2	Original brain	This study	Complete genome	Kuzmin
KX148190	93008IRA	Iran			Iran	Jackal	Canis aureus	1976	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148187	96320IRA	Iran			Iran	Jackal	Canis aureus	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148179	96314ISR	Israel			Israel	Jackal	Canis aureus	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148191	93032ISR	Israel			Israel	Jackal	Canis aureus	1993	Cosmopolitan	ME1b	Original brain	This study	Complete genome	Kuzmin
KX148225	02052AFG	Afghanistan			Afghanistan	Dog 	Canis familiaris	2002	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin
KX148227	04029AFG	Afghanistan			Afghanistan	Dog 	Canis familiaris	2004	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin
KX148226	04035AFG	Afghanistan			Afghanistan	Dog 	Canis familiaris	2002	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin
KX148197	15006FRA	Algeria			Algeria	Dog 	Canis familiaris	2015	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148109	86117BRE	Brazil			Brazil	Dog 	Canis familiaris	1986	Bats	DR	Original brain	This study	Complete genome	Kuzmin
KX148216	86001BRE	Brazil			Brazil	Dog 	Canis familiaris	1986	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin
KX148215	95022BRE	Brazil			Brazil	Dog 	Canis familiaris	1995	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin
KX148214	95023BRE	Brazil			Brazil	Dog 	Canis familiaris	1995	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin
AF369314	B1.DG	Brazil			Brazil	Dog 	Canis familiaris	1993	Cosmopolitan	AM3a		[18]	P	Troupin
AB517659	BRdg335	Brazil			Brazil	Dog 	Canis familiaris	2003	Cosmopolitan	AM3a		Mochizuki et al. unpublished	Complete genome	Kuzmin
KX148217	86123BRE	Brazil			Brazil	Dog 	Canis familiaris	1986	Cosmopolitan	AM3b	Mouse	This study	Complete genome	Kuzmin
KX148234	86036HAV	Burkina Faso			Burkina Faso	Dog 	Canis familiaris	1986	Africa-2		Mouse	This study	Complete genome	Kuzmin
EU853614	8636HAV	Burkina Faso			Burkina Faso	Dog 	Canis familiaris	1986	Africa-2			[7]	N	Troupin
KX148230	95047HAV	Burkina Faso			Burkina Faso	Dog 	Canis familiaris	1995	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148249	02006CBG	Cambodia			Cambodia	Dog	Canis familiaris	1998	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148252	99008CBG	Cambodia			Cambodia	Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148251	99011CBG	Cambodia			Cambodia	Dog	Canis familiaris	1998	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148253	99012CBG	Cambodia			Cambodia	Dog 	Canis familiaris	1998	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148250	99016CBG	Cambodia			Cambodia	Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148243	88003CAM	Cameroon			Cameroon	Dog 	Canis familiaris	1987	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148242	95002CAM	Cameroon			Cameroon	Dog 	Canis familiaris	1994	Africa-2		Original brain	This study	Complete genome	Kuzmin
AF325481	CAM1-UN	Cameroon			Cameroon	Dog 	Canis familiaris	1988	Africa-2			[19]	G	Troupin
KX148208	92029CAR	Central African Republic			Central African Republic	Dog 	Canis familiaris	1992	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KX148240	90021TCH	Chad			Chad	Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148241	96009TCH	Chad			Chad	Dog 	Canis familiaris	1996	Africa-2		Original brain	This study	Complete genome	Kuzmin
KM272192	CQH1202D	China			China	Dog 	Canis familiaris	2012	Arctic	AL2		Guo et al. unpublished	Complete genome	Kuzmin
GU345746	CQ92	China			China	Dog 	Canis familiaris	1992	Asian	SEA1a		Meng et al.,unpublished	Complete genome	Troupin
EU086146	05005CHI	China			China	Dog 	Canis familiaris	2005	Asian	SEA1b		[10]	G	Troupin
KX148265	98011CHI	China			China	Dog 	Canis familiaris	1998	Asian	SEA1b	Original brain	This study	Complete genome	Kuzmin
JQ970481	CJS0621D	China			China	Dog 	Canis familiaris	2006	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970482	CJS0636D	China			China	Dog 	Canis familiaris	2006	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970483	CJS0848D	China			China	Dog 	Canis familiaris	2008	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970484	CJX0903D	China			China	Dog 	Canis familiaris	2009	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970485	CJX0906D	China			China	Dog 	Canis familiaris	2009	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
KC252634	CNM1104D	China			China	Dog	Canis familiaris	2011	Asian	SEA1b	Original brain	Yin et al. unpublished	Complete genome	Kuzmin
JQ970486	CSD0708D	China			China	Dog 	Canis familiaris	2007	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
JQ970487	CSX0904D	China			China	Dog 	Canis familiaris	2009	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
HQ450385	DRV_AH08	China			China	Dog 	Canis familiaris	2008	Asian	SEA1b	Mouse		Complete genome	Kuzmin
FJ866835	FJ008	China			China	Dog 	Canis familiaris	2008	Asian	SEA1b		Zhang et al., unpublished	Complete genome	Troupin
FJ866836	FJ009	China			China	Dog 	Canis familiaris	2008	Asian	SEA1b		Zhang et al. unpublished	Complete genome	Kuzmin
JN609295	FJDRV	China			China	Dog 	Canis familiaris	2008	Asian	SEA1b		Qi unpublished	Complete genome	Kuzmin
GU345748	SH06	China			China	Dog 	Canis familiaris	2006	Asian	SEA1b		Meng et al., unpublished	Complete genome	Troupin
KC977995	Shaanxi_HZ	China			China	Dog 	Canis familiaris	2009	Asian	SEA1b			Complete genome	Kuzmin
FJ712194		China			China	Dog 	Canis familiaris	2008	Asian	SEA1b		[2]	Complete genome	Troupin
EU086144	02046CHI	China			China	Dog 	Canis familiaris	1994	Asian	SEA2a		[10]	G	Troupin
KX148264	02046CHI	China			China	Dog	Canis familiaris	1994	Asian	SEA2a	Mouse	This study	Complete genome	Kuzmin
JQ970480	CHN0802D	China			China	Dog 	Canis familiaris	2008	Asian	SEA2a	Original brain	Tang et al. unpublished	Complete genome	Kuzmin
GU358653	GX4	China			China	Dog 	Canis familiaris	1994	Asian	SEA2a		Li et al., unpublished	Complete genome	Troupin
JQ730682	CYN1009D	China			China	Dog 	Canis familiaris	2010	Asian	SEA3	Original brain	Troupin	Complete genome	Kuzmin
KX148200	88008ETH	Ethiopia			Ethiopia	Dog 	Canis familiaris	1988	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
AF369331	V667.DG	Ethiopia			Ethiopia	Dog 	Canis familiaris		Cosmopolitan	AF1a		[18]	P	Troupin
KX148268	90001FRA	French Guiana			French Guiana	Dog 	Canis familiaris	1990	Bats	DR	Original brain	This study	Complete genome	Kuzmin
KX148202	95049GAB	Gabon			Gabon	Dog 	Canis familiaris	1995	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148105	86083GRO	Greenland			Greenland	Dog 	Canis familiaris	1980	Arctic	A	Mouse	This study	Complete genome	Kuzmin
U22487	8660GUI	Guinea			Guinea	Dog 	Canis familiaris	1986	Africa-2			[7]	N	Troupin
KX148244	90024GUI	Guinea			Guinea	Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
AF325484	GUI1-DG	Guinea			Guinea	Dog 	Canis familiaris	1986	Africa-2			[19]	G	Troupin
AF369309	I15.DG	India			India	Dog 	Canis familiaris	1995	Indian-Sub			[18]	P	Troupin
KX148266	03003INDO	Indonesia			Indonesia	Dog 	Canis familiaris	2003	Asian	SEA1b	Mouse	This study	Complete genome	Kuzmin
AF369311	Ir5.DG	Iran			Iran	Dog 	Canis familiaris	1993	Cosmopolitan	CA1		[18]	P	Troupin
KX148189	86081IRA	Iran			Iran	Dog 	Canis familiaris	1985	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin
KF154998	RV2324	Israel			Israel	Dog 	Canis familiaris	1950	Cosmopolitan	AF4			Complete genome	Kuzmin
KX148178	96306ISR	Israel			Israel	Dog 	Canis familiaris	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148182	96307ISR	Israel			Israel	Dog 	Canis familiaris	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148181	96312ISR	Israel			Israel	Dog 	Canis familiaris	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148192	93033ISR	Israel			Israel	Dog 	Canis familiaris	1993	Cosmopolitan	ME1b	Original brain	This study	Complete genome	Kuzmin
KX148235	01007CI	Côte d'Ivoire			Côte d'Ivoire	Dog 	Canis familiaris	2001	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148232	92037CI	Côte d'Ivoire			Côte d'Ivoire	Dog 	Canis familiaris	1992	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148233	92038CI	Côte d'Ivoire			Côte d'Ivoire	Dog 	Canis familiaris	1992	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148258	02003LAO	Laos			Laos	Dog 	Canis familiaris	2002	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148256	02004LAO	Laos			Laos	Dog 	Canis familiaris	2002	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148257	02005LAO	Laos			Laos	Dog 	Canis familiaris	2002	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148255	99010LAO	Laos			Laos	Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
EU086152	9910LAO	Laos			Laos	Dog 	Canis familiaris	1999	Asian	SEA3		[10]	G	Troupin
AB981663	Lao2	Laos			Laos	Dog 	Canis familiaris	2011	Asian	SEA3	Original brain		Complete genome	Kuzmin
AB981664	Lao4	Laos			Laos	Dog 	Canis familiaris	2011	Asian	SEA3	Original brain		Complete genome	Kuzmin
KX148209	04033MAD	Madagascar			Madagascar	Dog 	Canis familiaris	2004	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin
KX148211	86046MAD	Madagascar			Madagascar	Dog 	Canis familiaris	1986	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin
AF325478	MAD1-DG	Madagascar			Madagascar	Dog 	Canis familiaris	1985	Cosmopolitan	AF1c		[19]	G	Troupin
AF325467	MOR2-DG	Morocco			Morocco	Dog 	Canis familiaris	1987	Cosmopolitan	AF1a		[19]	G	Troupin
KX148236	93011MAU	Mauritania			Mauritania	Dog 	Canis familiaris	1993	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148237	93012MAU	Mauritania			Mauritania	Dog 	Canis familiaris	1993	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148110	91014MEX	Mexico			Mexico	Dog 	Canis familiaris	1991	Cosmopolitan	AM2a	Original brain	This study	Complete genome	Kuzmin
KX148111	91015MEX	Mexico			Mexico	Dog 	Canis familiaris	1991	Cosmopolitan	AM2a	Original brain	This study	Complete genome	Kuzmin
KX148102	91026MEX	Mexico			Mexico	Dog 	Canis familiaris	1991	Cosmopolitan	AM2a	Mouse	This study	Complete genome	Kuzmin
HQ450386	DRV_Mexico	Mexico			Mexico	Dog 	Canis familiaris		Cosmopolitan	AM2a	Mouse		Complete genome	Kuzmin
AF325477	MEX1-DG	Mexico			Mexico	Dog 	Canis familiaris	1991	Cosmopolitan	AM2a		[19]	G	Troupin
KX148195	04031MAR	Morocco			Morocco	Dog 	Canis familiaris	2004	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148193	08342MAR	Morocco			Morocco	Dog 	Canis familiaris	2008	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148194	89017MAR	Morocco			Morocco	Dog 	Canis familiaris	1989	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148196	90016MAR	Morocco			Morocco	Dog 	Canis familiaris	1990	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148203	86031MOZ	Mozambique			Mozambique	Dog 	Canis familiaris	1986	Cosmopolitan	AF1b	Mouse	This study	Complete genome	Kuzmin
KX148247	99009BIR	Myanmar			Myanmar	Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148248	99015BIR	Myanmar			Myanmar	Dog 	Canis familiaris	1999	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148204	92030NAM	Namibia			Namibia	Dog 	Canis familiaris	1992	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KX148228	99001NEP	Nepal			Nepal	Dog 	Canis familiaris	1998	Arctic	AL3	Original brain	This study	Complete genome	Kuzmin
AF369317	V121.DG	Nepal			Nepal	Dog 	Canis familiaris	1989	Arctic	AL3		[18]	P	Troupin
AF325489	NEP1-DG	Nepal			Nepal	Dog 	Canis familiaris	1989	Indian-Sub			[19]	G	Troupin
KX148231	90010NIG	Niger			Niger	Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148229	90012NIG	Niger			Niger	Dog 	Canis familiaris	1990	Africa-2		Original brain	This study	Complete genome	Kuzmin
AF325480	NIG1-DG	Niger			Niger	Dog 	Canis familiaris	1990	Africa-2			[19]	G	Troupin
KC196743	DRV_NG11	Nigeria			Nigeria	Dog 	Canis familiaris	2011	Africa-2		Original brain		Complete genome	Kuzmin
AF369326	V461.DG	Nigeria			Nigeria	Dog 	Canis familiaris	1996	Africa-2			[18]	P	Troupin
KX148201	86003BRE	Nigeria			Nigeria	Dog 	Canis familiaris	1986	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
AF369329	V466.DG	Nigeria			Nigeria	Dog 	Canis familiaris	1996	Cosmopolitan	Vac2		[18]	P	Troupin
AF369315	P1.DG	Paraguay			Paraguay	Dog 	Canis familiaris	1994	Cosmopolitan	AM3b		[18]	P	Troupin
EU086205	04030PHI	Philippines			Philippines	Dog 	Canis familiaris	2004	Asian	SEA4		[10]	N	Troupin
KX148260	04030PHI	Philippines			Philippines	Dog 	Canis familiaris	2004	Asian	SEA4	Mouse	This study	Complete genome	Kuzmin
KX148259	94272PHI	Philippines			Philippines	Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
KX148263	94275PHI	Philippines			Philippines	Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
KX148262	94278PHI	Philippines			Philippines	Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
KX148261	94281PHI	Philippines			Philippines	Dog 	Canis familiaris	1994	Asian	SEA4	Original brain	This study	Complete genome	Kuzmin
JQ944705	1350KRA	Russia			Russia	Dog 	Canis familiaris	2008	Cosmopolitan	CA1	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
JQ944706	1352KRA	Russia			Russia	Dog 	Canis familiaris	2008	Cosmopolitan	CA2	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
KX148205	94289RWA	Rwanda			Rwanda	Dog 	Canis familiaris	1994	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KX148238	93003SEN	Senegal			Senegal	Dog 	Canis familiaris	1991	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148239	93005SEN	Senegal			Senegal	Dog 	Canis familiaris	1992	Africa-2		Original brain	This study	Complete genome	Kuzmin
KX148198	93128SOM	Somalia			Somalia	Dog 	Canis familiaris	1993	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
AF369297	V250.CD	South Africa			South Africa	Dog 	Canis familiaris	1994	Cosmopolitan	AF1b		[18]	P	Troupin
KF154999	RV2417	Sri Lanka			Sri Lanka	Dog 	Canis familiaris	2008	Indian-Sub		Original brain		Complete genome	Kuzmin
AF369320	V113.DG	Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1986	Indian-Sub			[18]	P	Troupin
AF369321	V118.DG	Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1986	Indian-Sub			[18]	P	Troupin
AB041966		Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1996	Indian-Sub			[8]	N	Troupin
AY138549		Sri Lanka			Sri Lanka	Dog 	Canis familiaris	1986	Indian-Sub			[9]	N	Troupin
U22648	9224TAN	Tanzania			Tanzania	Dog 	Canis familiaris	1992	Cosmopolitan	AF1b		[7]	N	Troupin
KX148206	96013TAN	Tanzania			Tanzania	Dog 	Canis familiaris	1996	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KF155002	RV2772	Tanzania			Tanzania	Dog 	Canis familiaris	2009	Cosmopolitan	AF1b	Original brain		Complete genome	Kuzmin
AF369333	V670.DG	Tanzania			Tanzania	Dog 	Canis familiaris		Cosmopolitan	AF1b		[18]	P	Troupin
JN786877	QS_05	Thailand			Thailand	Dog 	Canis familiaris		Asian	SEA3	Mouse		Complete genome	Kuzmin
AF369322	V027.DG	Tunisia			Tunisia	Dog 	Canis familiaris	1988	Cosmopolitan	AF1a		[18]	P	Troupin
KX148164	93100TUR	Turkey			Turkey	Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148166	94001TUR	Turkey			Turkey	Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148162	94002TUR	Turkey			Turkey	Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148167	94005TUR	Turkey			Turkey	Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148165	94009TUR	Turkey			Turkey	Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
KX148163	94016TUR	Turkey			Turkey	Dog 	Canis familiaris	1993	Cosmopolitan	ME2	Original brain	This study	Complete genome	Kuzmin
EF611853	A0905	USA	AK		USA	Dog 	Canis familiaris	2006	Arctic	A	Original brain	[11]; this study	N	Troupin
JQ685980	A0905	USA	AK		USA	Dog 	Canis familiaris	2006	Arctic	A	Original brain	[11]; this study	G	Troupin
KX148254	01016VNM	Viet Nam			Vietnam	Dog 	Canis familiaris	2001	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin
KX148261	01016VNM	Viet Nam			Vietnam	Dog	Canis familiaris	2001	Asian	SEA3	Mouse	This study	Complete genome	Kuzmin
JQ685994	A09-0103	USA	AL		USA	Coyote	Canis latrans	2009	RAC-SK		Original brain	Troupin	G	Troupin
JQ685917	CO-Coyot-2010	USA	CO		USA	Coyote	Canis latrans	2010	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685973	A11-1043	USA	OR		USA	Coyote	Canis latrans	2011	Bats	EF-W2	Original brain	Troupin	Complete genome	Troupin
AF369337	V217.CO	USA	TX		USA	Coyote	Canis latrans	1994	Cosmopolitan	AM2a		[18]	P	Troupin
KX148145	86054YOU	Bosnia and Herzegovina			Bosnia and Herzegovina	Wolf	Canis lupus	1986	Cosmopolitan	EE	Mouse	This study	Complete genome	Kuzmin
U22483	8702IRA	Iran			Iran	Wolf	Canis lupus	1987	Cosmopolitan	ME1a		[7]	N	Troupin
JQ685991	A09-0255	USA	OK		USA	Wolf	Canis lupus	2009	RAC-SK		Original brain	Troupin	G	Troupin
KX148199	93006SOM	Somalia			Somalia	Jackal	Canis mesomelas	1993	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148186	87002IRA	Iran			Iran	Wolf	Canis pallipes	1984	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin
KX148188	93009IRA	Iran			Iran	Wolf	Canis pallipes	1991	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148185	96299IRA	Iran			Iran	Wolf	Canis pallipes	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KP723638	RV2985	Ethiopia			Ethiopia	Ethiopian wolf 	Canis simensis	2014	Cosmopolitan	AF1a	Original brain		Complete genome	Kuzmin
KX148170	91035OMA	Oman			Oman	Fox	Carnivora sp.	1990	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
JQ944707	1410KOM	Russia			Russia	Deer	Cervidae sp.	2008	Arctic	A	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
AB383165		Brazil			Brazil	Non-hematophagous bat	Chiroptera sp.		Bats	EFu		[20]	G	Troupin
AB383166		Brazil			Brazil	Non-hematophagous bat	Chiroptera sp.		Bats			[20]	G	Troupin
AB383163		Brazil			Brazil	Non-hematophagous bat	Chiroptera sp.		Bats	LC		Sato, unpublished	G	Troupin
AB383164		Brazil			Brazil	Non-hematophagous bat	Chiroptera sp.		Bats	LC		Sato, unpublished	G	Troupin
U22637	8807ETH	Ethiopia			Ethiopia	Spotted hyena	Crocuta crocuta	1987	Cosmopolitan	AF1a		[7]	N	Troupin
AF325485	SAF1-MG	South Africa			South Africa	Yellow mongoose	Cynictis penicillata	1987	Africa-3			[19]	G	Troupin
AF369298	V046.MG	South Africa			South Africa	Yellow mongoose	Cynictis penicillata	1990	Africa-3			[18]	P	Troupin
AF369301	V050.MG	South Africa			South Africa	Yellow mongoose	Cynictis penicillata	1990	Africa-3			[18]	P	Troupin
AF369302	V264.MG	South Africa			South Africa	Yellow mongoose	Cynictis penicillata	1995	Africa-3			[18]	P	Troupin
KX148220	15001AFS	South Africa			South Africa	Yellow mongoose	Cynictis penicillata	2013	Africa-3		Original brain	This study	Complete genome	Kuzmin
AF467949		South Africa			South Africa	Yellow mongoose	Cynictis penicillata		Africa-3			Jacob et al., unpublished	N	Troupin
KJ564280	IMDRV_13	China			China	Fallow deer	Dama dama	2013	Asian	SEA1b	Original brain		Complete genome	Kuzmin
AB519642	BR_DR1	Brazil			Brazil	Common vampire bat	Desmodus rotundus	2000	Bats	DR	Original brain		Complete genome	Kuzmin
AB247428	BR-DR8	Brazil			Brazil	Common vampire bat	Desmodus rotundus		Bats	DR		Sato, unpublished	G	Troupin
AB517660	BR_Pfx3	Brazil			Brazil	Brazilian wild fox	Dusicyon_sp.	2001	Cosmopolitan	AM3b		Mochizuki et al. unpublished	Complete genome	Kuzmin
AB383168	BR-EF1	Brazil			Brazil	Argentinian brown bat	Eptesicus furinalis		Bats	EFu		[20]	G	Troupin
