SequenceID	Accession	GenBankName	Strain	Region	Year	Country	IslandGroup	Region	Province	Municipality	Species_latin_binomial
TRa-022_III_2008	AB563851	RV/R3.PHL/2008/TRa-022	TRa-022	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris
TRa-024_X_2008	AB563852	RV/R10.PHL/2008/TRa-024	TRa-024	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-025_X_2008	AB563853	RV/R10.PHL/2008/TRa-025	TRa-025	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-026_X_2008	AB563854	RV/R10.PHL/2008/TRa-026	TRa-026	X	2008	Philippines	Mindanao	X	Misamis Oriental	Lagonglong	Canis familiaris
TRa-027_X_2008	AB563855	RV/R10.PHL/2008/TRa-027	TRa-027	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-028_X_2008	AB563856	RV/R10.PHL/2008/TRa-028	TRa-028	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-030_X_2008	AB563857	RV/R10.PHL/2008/TRa-030	TRa-030	X	2008	Philippines	Mindanao	X	Misamis Oriental	Manticao	Canis familiaris
TRa-031_V_2008	AB563858	RV/R5.PHL/2008/TRa-031	TRa-031	V	2008	Philippines	Luzon	V	Albay	Bacacay	Canis familiaris
TRa-032_V_2008	AB563859	RV/R5.PHL/2008/TRa-032	TRa-032	V	2008	Philippines	Luzon	V	Albay	Bacacay	Canis familiaris
TRa-034_V_2008	AB563860	RV/R5.PHL/2008/TRa-034	TRa-034	V	2008	Philippines	Luzon	V	Albay	Tabaco City	Canis familiaris
TRa-036_V_2008	AB563861	RV/R5.PHL/2008/TRa-036	TRa-036	V	2008	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris
TRa-037_V_2008	AB563862	RV/R5.PHL/2008/TRa-037	TRa-037	V	2008	Philippines	Luzon	V	Camarines Sur	Gainza	Canis familiaris
TRa-038_III_2008	AB563863	RV/R3.PHL/2008/TRa-038	TRa-038	III	2008	Philippines	Luzon	III	Pampanga	San Fernando	Canis familiaris
TRa-040_III_2008	AB563864	RV/R3.PHL/2008/TRa-040	TRa-040	III	2008	Philippines	Luzon	III	Zambales	San Felipe	Canis familiaris
TRa-041_III_2008	AB563865	RV/R3.PHL/2008/TRa-041	TRa-041	III	2008	Philippines	Luzon	III	Tarlac	Moncada	Canis familiaris
TRa-047_III_2008	AB563867	RV/R3.PHL/2008/TRa-047	TRa-047	III	2008	Philippines	Luzon	III	Zambales	San Narciso	Canis familiaris
TRa-048_III_2008	AB563868	RV/R3.PHL/2008/TRa-048	TRa-048	III	2008	Philippines	Luzon	III	Zambales	San Narciso	Canis familiaris
TRa-049_III_2008	AB563869	RV/R3.PHL/2008/TRa-049	TRa-049	III	2008	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris
TRa-051_III_2008	AB563870	RV/R3.PHL/2008/TRa-051	TRa-051	III	2008	Philippines	Luzon	III	Pampanga	Magalang	Canis familiaris
TRa-052_X_2008	AB563871	RV/R10.PHL/2008/TRa-052	TRa-052	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-053_X_2008	AB563872	RV/R10.PHL/2008/TRa-053	TRa-053	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-054_X_2008	AB563873	RV/R10.PHL/2008/TRa-054	TRa-054	X	2008	Philippines	Mindanao	X	Lanao del Norte	Iligan City	Canis familiaris
TRa-055_X_2008	AB563874	RV/R10.PHL/2008/TRa-055	TRa-055	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-056_X_2008	AB563875	RV/R10.PHL/2008/TRa-056	TRa-056	X	2008	Philippines	Mindanao	X	Misamis Oriental	Balingasag	Canis familiaris
TRa-057_X_2008	AB563876	RV/R10.PHL/2008/TRa-057	TRa-057	X	2008	Philippines	Mindanao	X	Misamis Oriental	Balingasag	Canis familiaris
TRa-059_III_2008	AB563878	RV/R3.PHL/2008/TRa-059	TRa-059	III	2008	Philippines	Luzon	III	Pampanga	Mexico	Canis familiaris
TRa-060_III_2008	AB563879	RV/R3.PHL/2008/TRa-060	TRa-060	III	2008	Philippines	Luzon	III	Pampanga	Magalang	Canis familiaris
TRa-061_III_2008	AB563880	RV/R3.PHL/2008/TRa-061	TRa-061	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris
TRa-062_III_2008	AB563881	RV/R3.PHL/2008/TRa-062	TRa-062	III	2008	Philippines	Luzon	III	Nueva Ecija	Licab	Canis familiaris
TRa-063_III_2008	AB563882	RV/R3.PHL/2008/TRa-063	TRa-063	III	2008	Philippines	Luzon	III	Nueva Ecija	Rizal	Canis familiaris
TRa-064_III_2008	AB563883	RV/R3.PHL/2008/TRa-064	TRa-064	III	2008	Philippines	Luzon	III	Pampanga	Masantol	Canis familiaris
TRa-065_III_2008	AB563884	RV/R3.PHL/2008/TRa-065	TRa-065	III	2008	Philippines	Luzon	III	Nueva Ecija	San Jose	Canis familiaris
TRa-066_III_2008	AB563885	RV/R3.PHL/2008/TRa-066	TRa-066	III	2008	Philippines	Luzon	III	Pampanga	San Simon	Canis familiaris
TRa-067_V_2008	AB563886	RV/R5.PHL/2008/TRa-067	TRa-067	V	2008	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris
TRa-071_V_2008	AB563887	RV/R5.PHL/2008/TRa-071	TRa-071	V	2008	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris
TRa-072_V_2008	AB563888	RV/R5.PHL/2008/TRa-072	TRa-072	V	2008	Philippines	Luzon	V	Albay	Tiwi	Canis familiaris
TRa-073_V_2008	AB563889	RV/R5.PHL/2008/TRa-073	TRa-073	V	2008	Philippines	Luzon	V	Sorsogon	Juban	Canis familiaris
TRa-074_VII_2008	AB563890	RV/R7.PHL/2008/TRa-074	TRa-074	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City 	Canis familiaris
TRa-075_VII_2008	AB563891	RV/R7.PHL/2008/TRa-075	TRa-075	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City	Canis familiaris
TRa-076_VII_2008	AB563892	RV/R7.PHL/2008/TRa-076	TRa-076	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-077_VII_2008	AB563893	RV/R7.PHL/2008/TRa-077	TRa-077	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City	Canis familiaris
TRa-078_VII_2008	AB563894	RV/R7.PHL/2008/TRa-078	TRa-078	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-079_VII_2008	AB563895	RV/R7.PHL/2008/TRa-079	TRa-079	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-080_VII_2008	AB563896	RV/R7.PHL/2008/TRa-080	TRa-080	VII	2008	Philippines	Visayas	VII	Cebu	Lilo-an	Canis familiaris
TRa-084_VII_2008	AB683588	RV/R7.PHL/2008/TRa-084	TRa-084	VII	2008	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris
TRa-085_VII_2008	AB563900	RV/R7.PHL/2008/TRa-085	TRa-085	VII	2008	Philippines	Visayas	VII	Negros Oriental	Valencia	unknown
TRa-086_III_2008	AB563901	RV/R3.PHL/2008/TRa-086	TRa-086	III	2008	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris
TRa-087_III_2008	AB563902	RV/R3.PHL/2008/TRa-087	TRa-087	III	2008	Philippines	Luzon	III	Pampanga	Santa Rita	Canis familiaris
TRa-088_III_2008	AB563903	RV/R3.PHL/2008/TRa-088	TRa-088	III	2008	Philippines	Luzon	III	Pampanga	Minalin	Canis familiaris
TRa-089_III_2008	AB563904	RV/R3.PHL/2008/TRa-089	TRa-089	III	2008	Philippines	Luzon	III	Nueva Ecija	Laur	Canis familiaris
TRa-090_III_2008	AB563905	RV/R3.PHL/2008/TRa-090	TRa-090	III	2008	Philippines	Luzon	III	Pampanga	Macabebe	Canis familiaris
TRa-091_III_2008	AB563906	RV/R3.PHL/2008/TRa-091	TRa-091	III	2008	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris
TRa-092_III_2008	AB563907	RV/R3.PHL/2008/TRa-092	TRa-092	III	2008	Philippines	Luzon	III	Pampanga	Santa Rita	Canis familiaris
TRa-093_III_2008	AB563908	RV/R3.PHL/2008/TRa-093	TRa-093	III	2008	Philippines	Luzon	III	Pampanga	Angeles City	Canis familiaris
TRa-094_I_2008	AB563909	RV/R1.PHL/2008/TRa-094	TRa-094	I	2008	Philippines	Luzon	I	Pangasinan	Lingayen	Canis familiaris
TRa-095_III_2008	AB563910	RV/R3.PHL/2008/TRa-095	TRa-095	III	2008	Philippines	Luzon	III	Nueva Ecija	Laur	Canis familiaris
TRa-096_VII_2008	AB563911	RV/R7.PHL/2008/TRa-096	TRa-096	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City,	Canis familiaris
TRa-097_VII_2008	AB563912	RV/R7.PHL/2008/TRa-097	TRa-097	VII	2008	Philippines	Visayas	VII	Cebu	San Remigio	Canis familiaris
TRa-098_VII_2008	AB563913	RV/R7.PHL/2008/TRa-098	TRa-098	VII	2008	Philippines	Visayas	VII	Cebu	Lapu Lapu City	Canis familiaris
TRa-099_VII_2008	AB563914	RV/R7.PHL/2008/TRa-099	TRa-099	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City,	Canis familiaris
TRa-100_VII_2008	AB563915	RV/R7.PHL/2008/TRa-100	TRa-100	VII	2008	Philippines	Visayas	VII	Cebu	Consolacion,	Canis familiaris
TRa-101_VII_2008	AB563916	RV/R7.PHL/2008/TRa-101	TRa-101	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-102_VII_2008	AB563917	RV/R7.PHL/2008/TRa-102	TRa-102	VII	2008	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-103_VII_2008	AB563918	RV/R7.PHL/2008/TRa-103	TRa-103	VII	2008	Philippines	Visayas	VII	Cebu	Mandaue City	Canis familiaris
TRa-104_X_2008	AB563919	RV/R10.PHL/2008/TRa-104	TRa-104	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-107_X_2008	AB563920	RV/R10.PHL/2008/TRa-107	TRa-107	X	2008	Philippines	Mindanao	X	Misamis Oriental	Balingasag	Canis familiaris
TRa-108_X_2008	AB563921	RV/R10.PHL/2008/TRa-108	TRa-108	X	2008	Philippines	Mindanao	X	Misamis Oriental	Manticao	Canis familiaris
TRa-109_X_2009	AB563922	RV/R10.PHL/2009/TRa-109	TRa-109	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-110_X_2009	AB563923	RV/R10.PHL/2009/TRa-110	TRa-110	X	2009	Philippines	Mindanao	X	Misamis Oriental	Magsaysay	Canis familiaris
TRa-111_III_2008	AB563924	RV/R3.PHL/2008/TRa-111	TRa-111	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris
TRa-112_III_2008	AB563925	RV/R3.PHL/2008/TRa-112	TRa-112	III	2008	Philippines	Luzon	III	Zambales	Castillejos	Canis familiaris
TRa-113_III_2009	AB563926	RV/R3.PHL/2009/TRa-113	TRa-113	III	2009	Philippines	Luzon	III	Nueva Ecija	Munoz	Canis familiaris
TRa-114_III_2009	AB563927	RV/R3.PHL/2009/TRa-114	TRa-114	III	2009	Philippines	Luzon	III	Zambales	San Marcelino	Canis familiaris
TRa-115_III_2009	AB563928	RV/R3.PHL/2009/TRa-115	TRa-115	III	2009	Philippines	Luzon	III	Pampanga	Santa Ana	Canis familiaris
TRa-116_III_2009	AB563929	RV/R3.PHL/2009/TRa-116	TRa-116	III	2009	Philippines	Luzon	III	Zambales	San Felipe	Canis familiaris
TRa-117_III_2009	AB563930	RV/R3.PHL/2009/TRa-117	TRa-117	III	2009	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris
TRa-118_III_2009	AB563931	RV/R3.PHL/2009/TRa-118	TRa-118	III	2009	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris
TRa-120_V_2008	AB563933	RV/R5.PHL/2008/TRa-120	TRa-120	V	2008	Philippines	Luzon	V	Catanduanes	Virac	Canis familiaris
TRa-121_V_2008	AB563934	RV/R5.PHL/2008/TRa-121	TRa-121	V	2008	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris
TRa-123_V_2008	AB563936	RV/R5.PHL/2008/TRa-123	TRa-123	V	2008	Philippines	Luzon	V	Catanduanes	Virac	Canis familiaris
TRa-127_III_2009	AB563937	RV/R3.PHL/2009/TRa-127	TRa-127	III	2009	Philippines	Luzon	III	Pampanga	Masantol	Canis familiaris
TRa-128_III_2009	AB563938	RV/R3.PHL/2009/TRa-128	TRa-128	III	2009	Philippines	Luzon	III	Nueva Ecija	Palayan	Canis familiaris
TRa-129_III_2009	AB563939	RV/R3.PHL/2009/TRa-129	TRa-129	III	2009	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris
TRa-130_III_2009	AB563940	RV/R3.PHL/2009/TRa-130	TRa-130	III	2009	Philippines	Luzon	III	Pampanga	Angeles City	Canis familiaris
TRa-132_III_2009	AB683586	RV/R3.PHL/2009/TRa-132	TRa-132	III	2009	Philippines	Luzon	III	Nueva Ecija	Talugtug	Canis familiaris
TRa-133_III_2009	AB563942	RV/R3.PHL/2009/TRa-133	TRa-133	III	2009	Philippines	Luzon	III	Pampanga	Santo Tomas	Canis familiaris
TRa-134_III_2009	AB563943	RV/R3.PHL/2009/TRa-134	TRa-134	III	2009	Philippines	Luzon	III	Nueva Ecija	Pantabangan	Canis familiaris
TRa-135_III_2009	AB563944	RV/R3.PHL/2009/TRa-135	TRa-135	III	2009	Philippines	Luzon	III	Pampanga	Santa Ana	Canis familiaris
TRa-136_III_2009	AB563945	RV/R3.PHL/2009/TRa-136	TRa-136	III	2009	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris
TRa-142_II_2009	AB563946	RV/R2.PHL/2009/TRa-142	TRa-142	II	2009	Philippines	Luzon	II	Cagayan	Allacapan	Canis familiaris
TRa-143_VII_2009	AB563947	RV/R7.PHL/2009/TRa-143	TRa-143	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Cow
TRa-144_VII_2009	AB563948	RV/R7.PHL/2009/TRa-144	TRa-144	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris
TRa-145_VII_2009	AB563949	RV/R7.PHL/2009/TRa-145	TRa-145	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris
TRa-147_VII_2009	AB563950	RV/R7.PHL/2009/TRa-147	TRa-147	VII	2009	Philippines	Visayas	VII	Negros Oriental	Bais City	Canis familiaris
TRa-150_I_2009	AB563951	RV/R1.PHL/2009/TRa-150	TRa-150	I	2009	Philippines	Luzon	I	Pangasinan	Asingan	Canis familiaris
TRa-151_I_2009	AB563952	RV/R1.PHL/2009/TRa-151	TRa-151	I	2009	Philippines	Luzon	I	Pangasinan	Asingan	Canis familiaris
TRa-153_I_2009	AB563953	RV/R1.PHL/2009/TRa-153	TRa-153	I	2009	Philippines	Luzon	I	Pangasinan	Laoac	Canis familiaris
TRa-154_I_2009	AB563954	RV/R1.PHL/2009/TRa-154	TRa-154	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris
TRa-156_I_2009	AB838709	RV/R1.PHL/2009/TRa-156	TRa-156	I	2009	Philippines	Luzon	I	Pangasinan	Burgos	Canis familiaris
TRa-157_I_2009	AB563955	RV/R1.PHL/2009/TRa-157	TRa-157	I	2009	Philippines	Luzon	I	Pangasinan	Agno	Canis familiaris
TRa-159_I_2009	AB563956	RV/R1.PHL/2009/TRa-159	TRa-159	I	2009	Philippines	Luzon	I	Pangasinan	San Jacinto	Canis familiaris
TRa-161_I_2009	AB563957	RV/R1.PHL/2009/TRa-161	TRa-161	I	2009	Philippines	Luzon	I	Pangasinan	Urdaneta	Canis familiaris
TRa-164_VII_2009	AB563958	RV/R7.PHL/2009/TRa-164	TRa-164	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris
TRa-165_VII_2009	AB563959	RV/R7.PHL/2009/TRa-165	TRa-165	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris
TRa-166_VII_2009	AB563960	RV/R7.PHL/2009/TRa-166	TRa-166	VII	2009	Philippines	Visayas	VII	Cebu	Mandaue City	Canis familiaris
TRa-167_VII_2009	AB563961	RV/R7.PHL/2009/TRa-167	TRa-167	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-168_VII_2009	AB563962	RV/R7.PHL/2009/TRa-168	TRa-168	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-170_VII_2009	AB563963	RV/R7.PHL/2009/TRa-170	TRa-170	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-172_VII_2009	AB563964	RV/R7.PHL/2009/TRa-172	TRa-172	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-173_VII_2009	AB563965	RV/R7.PHL/2009/TRa-173	TRa-173	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-176_VII_2009	AB563966	RV/R7.PHL/2009/TRa-176	TRa-176	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-177_VII_2009	AB563967	RV/R7.PHL/2009/TRa-177	TRa-177	VII	2009	Philippines	Visayas	VII	Cebu	Lapu-Lapu City	Canis familiaris
TRa-178_VII_2009	AB563968	RV/R7.PHL/2009/TRa-178	TRa-178	VII	2009	Philippines	Visayas	VII	Cebu	Cebu City	Canis familiaris
TRa-179_VII_2009	AB838710	RV/R7.PHL/2009/TRa-179	TRa-179	VII	2009	Philippines	Visayas	VII	Cebu	Lapu-Lapu City	Canis familiaris
TRa-183_V_2009	AB563969	RV/R5.PHL/2009/TRa-183	TRa-183	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris
TRa-184_X_2009	AB683589	RV/R10.PHL/2009/TRa-184	TRa-184	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-186_X_2009	AB683590	RV/R10.PHL/2009/TRa-186	TRa-186	X	2009	Philippines	Mindanao	X	Misamis Oriental	Binuangan	Canis familiaris
TRa-189_X_2009	AB683591	RV/R10.PHL/2009/TRa-189	TRa-189	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-191_X_2009	AB563970	RV/R10.PHL/2009/TRa-191	TRa-191	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-196_X_2009	AB563971	RV/R10.PHL/2009/TRa-196	TRa-196	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-197_X_2009	AB563972	RV/R10.PHL/2009/TRa-197	TRa-197	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-198_CAR_2009	AB563973	RV/CAR.PHL/2009/TRa-198	TRa-198	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Tadian	Canis familiaris
TRa-199_CAR_2009	AB563974	RV/CAR.PHL/2009/TRa-199	TRa-199	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Sadanga	Canis familiaris
TRa-200_CAR_2009	AB563975	RV/CAR.PHL/2009/TRa-200	TRa-200	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Sadanga	Canis familiaris
TRa-201_III_2009	AB563976	RV/R3.PHL/2009/TRa-201	TRa-201	III	2009	Philippines	Luzon	III	Nueva Ecija	San Leonardo	Canis familiaris
TRa-202_III_2009	AB563977	RV/R3.PHL/2009/TRa-202	TRa-202	III	2009	Philippines	Luzon	III	Zambales	Masinloc	Canis familiaris
TRa-204_III_2009	AB563978	RV/R3.PHL/2009/TRa-204	TRa-204	III	2009	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris
TRa-205_III_2009	AB563979	RV/R3.PHL/2009/TRa-205	TRa-205	III	2009	Philippines	Luzon	III	Nueva Ecija	San Jose	Canis familiaris
TRa-206_III_2009	AB563980	RV/R3.PHL/2009/TRa-206	TRa-206	III	2009	Philippines	Luzon	III	Pampanga	Porac	Canis familiaris
TRa-208_I_2009	AB563981	RV/R1.PHL/2009/TRa-208	TRa-208	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris
TRa-209_I_2009	AB563982	RV/R1.PHL/2009/TRa-209	TRa-209	I	2009	Philippines	Luzon	I	Pangasinan	Pozorrubio	unknown
TRa-210_I_2009	AB563983	RV/R1.PHL/2009/TRa-210	TRa-210	I	2009	Philippines	Luzon	I	Pangasinan	Urdaneta	Canis familiaris
TRa-213_I_2009	AB563984	RV/R1.PHL/2009/TRa-213	TRa-213	I	2009	Philippines	Luzon	I	Pangasinan	Binmaley	Canis familiaris
TRa-214_I_2009	AB563985	RV/R1.PHL/2009/TRa-214	TRa-214	I	2009	Philippines	Luzon	I	Pangasinan	Bani	Canis familiaris
TRa-215_I_2009	AB563986	RV/R1.PHL/2009/TRa-215	TRa-215	I	2009	Philippines	Luzon	I	Pangasinan	Manaoag	Canis familiaris
TRa-216_I_2009	AB563987	RV/R1.PHL/2009/TRa-216	TRa-216	I	2009	Philippines	Luzon	I	La Union 	Aringay	Canis familiaris
TRa-218_I_2009	AB563988	RV/R1.PHL/2009/TRa-218	TRa-218	I	2009	Philippines	Luzon	I	La Union 	San Fernando	Canis familiaris
TRa-219_I_2009	AB563989	RV/R1.PHL/2009/TRa-219	TRa-219	I	2009	Philippines	Luzon	I	Pangasinan	Urbiztondo	Canis familiaris
TRa-220_I_2009	AB563990	RV/R1.PHL/2009/TRa-220	TRa-220	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris
TRa-221_I_2009	AB563991	RV/R1.PHL/2009/TRa-221	TRa-221	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris
TRa-222_CAR_2009	AB563992	RV/CAR.PHL/2009/TRa-222	TRa-222	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Besao	Canis familiaris
TRa-224_CAR_2009	AB563993	RV/CAR.PHL/2009/TRa-224	TRa-224	CAR	2009	Philippines	Luzon	CAR	Ifugao	Banaue	Canis familiaris
TRa-225_V_2009	AB563994	RV/R5.PHL/2009/TRa-225	TRa-225	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris
TRa-226_V_2009	AB563995	RV/R5.PHL/2009/TRa-226	TRa-226	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris
TRa-227_V_2009	AB563996	RV/R5.PHL/2009/TRa-227	TRa-227	V	2009	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris
TRa-229_V_2009	AB563997	RV/R5.PHL/2009/TRa-229	TRa-229	V	2009	Philippines	Luzon	V	Catanduanes	Virac	Canis familiaris
TRa-231_V_2009	AB563998	RV/R5.PHL/2009/TRa-231	TRa-231	V	2009	Philippines	Luzon	V	Camarines Norte	Vinzons	Canis familiaris
TRa-233_I_2009	AB563999	RV/R1.PHL/2009/TRa-233	TRa-233	I	2009	Philippines	Luzon	I	Ilocos Sur	Bontoc	Canis familiaris
TRa-234_CAR_2009	AB564000	RV/CAR.PHL/2009/TRa-234	TRa-234	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Bontoc	unknown
TRa-235_VII_2009	AB564001	RV/R7.PHL/2009/TRa-235	TRa-235	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris
TRa-236_VII_2009	AB564002	RV/R7.PHL/2009/TRa-236	TRa-236	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	unknown
TRa-237_VII_2009	AB564003	RV/R7.PHL/2009/TRa-237	TRa-237	VII	2009	Philippines	Visayas	VII	Negros Oriental	Bais City	Canis familiaris
TRa-238_VII_2009	AB564004	RV/R7.PHL/2009/TRa-238	TRa-238	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris
TRa-239_VII_2009	AB564005	RV/R7.PHL/2009/TRa-239	TRa-239	VII	2009	Philippines	Visayas	VII	Negros Oriental	Valencia	Canis familiaris
TRa-240_VII_2009	AB564006	RV/R7.PHL/2009/TRa-240	TRa-240	VII	2009	Philippines	Visayas	VII	Negros Oriental	Zamboanguita	Canis familiaris
TRa-241_VII_2009	AB564007	RV/R7.PHL/2009/TRa-241	TRa-241	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris
TRa-242_X_2009	AB564008	RV/R10.PHL/2009/TRa-242	TRa-242	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-243_X_2009	AB564009	RV/R10.PHL/2009/TRa-243	TRa-243	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
