"Accession","Strain","Country","Location","Common_name","Species_latin_binomial","Year","Major_clade","Minor_clade","Source","Reference","Coverage","Dataset","clusters"
"KX148265","98011CHI","China","","Dog","Canis familiaris",1998,"Asian","SEA1b","Original brain","This study","Complete genome","Kuzmin","Clust_81"
"JQ423952","BJ2011E","China","","Horse","Equus ferus",2011,"Asian","SEA1b","","Chen et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JQ970481","CJS0621D","China","","Dog","Canis familiaris",2006,"Asian","SEA1b","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JQ970482","CJS0636D","China","","Dog","Canis familiaris",2006,"Asian","SEA1b","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JQ970483","CJS0848D","China","","Dog","Canis familiaris",2008,"Asian","SEA1b","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JQ970484","CJX0903D","China","","Dog","Canis familiaris",2009,"Asian","SEA1b","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JQ970485","CJX0906D","China","","Dog","Canis familiaris",2009,"Asian","SEA1b","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_80"
"KC193267","CNM1101C","China","","Cow","Bos taurus",2011,"Asian","SEA1b","Original brain","Yin et al. unpublished","Complete genome","Kuzmin","Clust_81"
"KC252634","CNM1104D","China","","Dog","Canis familiaris",2011,"Asian","SEA1b","Original brain","Yin et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JQ970486","CSD0708D","China","","Dog","Canis familiaris",2007,"Asian","SEA1b","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JQ970487","CSX0904D","China","","Dog","Canis familiaris",2009,"Asian","SEA1b","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"HQ450385","DRV_AH08","China","","Dog","Canis familiaris",2008,"Asian","SEA1b","Mouse","","Complete genome","Kuzmin","Clust_81"
"FJ866835","FJ008","China","","Dog","Canis familiaris",2008,"Asian","SEA1b","","Zhang et al., unpublished","Complete genome","Troupin","Clust_81"
"FJ866836","FJ009","China","","Dog","Canis familiaris",2008,"Asian","SEA1b","","Zhang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"JN609295","FJDRV","China","","Dog","Canis familiaris",2008,"Asian","SEA1b","","Qi unpublished","Complete genome","Kuzmin","Clust_81"
"KC169986","GXHXN","China","","Cow","Bos taurus",2009,"Asian","SEA1b","Original brain","","Complete genome","Kuzmin","Clust_74"
"KJ564280","IMDRV_13","China","","Fallow deer","Dama dama",2013,"Asian","SEA1b","Original brain","","Complete genome","Kuzmin","Clust_81"
"KC762941","JX09_17","China","","Ferret badger","Melogale moschata",2009,"Asian","SEA1b","Original brain","","Complete genome","Kuzmin","Clust_80"
"KF726853","JX10_37","China","","Ferret badger","Melogale moschata",2010,"Asian","SEA1b","Original brain","","Complete genome","Kuzmin","Clust_70"
"KJ004416","JZ13_Lv","China","","Human","Homo sapiens",2013,"Asian","SEA1b","","Wang et al. unpublished","Complete genome","Kuzmin","Clust_81"
"GU345748","SH06","China","","Dog","Canis familiaris",2006,"Asian","SEA1b","","Meng et al., unpublished","Complete genome","Troupin","Clust_81"
"KC977995","Shaanxi_HZ","China","","Dog","Canis familiaris",2009,"Asian","SEA1b","","","Complete genome","Kuzmin","Clust_81"
"JQ647510","WH11","China","","Donkey","Equus asinus",2011,"Asian","SEA1b","Original brain","","Complete genome","Kuzmin","Clust_81"
"FJ712194","","China","","Dog","Canis familiaris",2008,"Asian","SEA1b","","[2]","Complete genome","Troupin","Clust_81"
"EU086144","02046CHI","China","","Dog","Canis familiaris",1994,"Asian","SEA2a","","[10]","G","Troupin","Clust_76"
"KX148264","02046CHI","China","","Dog","Canis familiaris",1994,"Asian","SEA2a","Mouse","This study","Complete genome","Kuzmin","Clust_76"
"JQ970480","CHN0802D","China","","Dog","Canis familiaris",2008,"Asian","SEA2a","Original brain","Tang et al. unpublished","Complete genome","Kuzmin","Clust_76"
"JX088694","GD_SH_01","China","","Pig","Sus domesticus",2011,"Asian","SEA2a","Original brain","-10","Complete genome","Kuzmin","Clust_76"
"GU358653","GX4","China","","Dog","Canis familiaris",1994,"Asian","SEA2a","","Li et al., unpublished","Complete genome","Troupin","Clust_76"
"EU643590","HN10","China","","Human","Homo sapiens",2006,"Asian","SEA2a","","[12]","Complete genome","Troupin","Clust_76"
"FJ712195","F02","China","","Ferret badger","Melogale moschata",2008,"Asian","SEA2b","Original brain","[2]","Complete genome","Troupin","Clust_75"
"FJ712196","F04","China","","Ferret badger","Melogale moschata",2008,"Asian","SEA2b","","[2]","Complete genome","Troupin","Clust_75"
"GU647092","JX08_45","China","","Ferret badger","Melogale moschata",2008,"Asian","SEA2b","","Zhao et al. unpublished","Complete genome","Kuzmin","Clust_75"
"KF726852","JX09_18","China","","Ferret badger","Melogale moschata",2009,"Asian","SEA2b","Original brain","","Complete genome","Kuzmin","Clust_75"
"KX148254","01016VNM","Viet Nam","","Dog","Canis familiaris",2001,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148261","01016VNM","Vietnam","","Dog","Canis familiaris",2001,"Asian","SEA3","Mouse","This study","Complete genome","Kuzmin","Clust_66"
"KX148258","02003LAO","Laos","","Dog","Canis familiaris",2002,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148256","02004LAO","Laos","","Dog","Canis familiaris",2002,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148257","02005LAO","Laos","","Dog","Canis familiaris",2002,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148249","02006CBG","Cambodia","","Dog","Canis familiaris",1998,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"EU293111","8764THA","Thailand","","Human","Homo sapiens",1983,"Asian","SEA3","Mouse","[3]","Complete genome","Troupin","Clust_82"
"KX148252","99008CBG","Cambodia","","Dog","Canis familiaris",1999,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148247","99009BIR","Myanmar","","Dog","Canis familiaris",1999,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_72"
"KX148255","99010LAO","Laos","","Dog","Canis familiaris",1999,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148251","99011CBG","Cambodia","","Dog","Canis familiaris",1998,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148253","99012CBG","Cambodia","","Dog","Canis familiaris",1998,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"KX148248","99015BIR","Myanmar","","Dog","Canis familiaris",1999,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_72"
"KX148250","99016CBG","Cambodia","","Dog","Canis familiaris",1999,"Asian","SEA3","Original brain","This study","Complete genome","Kuzmin","Clust_83"
"EU086152","9910LAO","Laos","","Dog","Canis familiaris",1999,"Asian","SEA3","","[10]","G","Troupin","Clust_83"
"JQ730682","CYN1009D","China","","Dog","Canis familiaris",2010,"Asian","SEA3","Original brain","Troupin","Complete genome","Kuzmin","Clust_77"
"AB981663","Lao2","Laos","","Dog","Canis familiaris",2011,"Asian","SEA3","Original brain","","Complete genome","Kuzmin","Clust_83"
"AB981664","Lao4","Laos","","Dog","Canis familiaris",2011,"Asian","SEA3","Original brain","","Complete genome","Kuzmin","Clust_83"
"AF325487","MAL1-HM","Malaysia","","Human","Homo sapiens",1985,"Asian","SEA3","","[19]","G","Troupin","Clust_67"
"JN786877","QS_05","Thailand","","Dog","Canis familiaris",NA,"Asian","SEA3","Mouse","","Complete genome","Kuzmin","Clust_83"
"EU086155","04030PHI","Philippines","","Human","Homo sapiens",2004,"Asian","SEA4","","[10]","G","Troupin","Clust_66"
"EU086205","04030PHI","Philippines","","Dog","Canis familiaris",2004,"Asian","SEA4","","[10]","N","Troupin","Clust_66"
"KX148260","04030PHI","Philippines","","Dog","Canis familiaris",2004,"Asian","SEA4","Mouse","This study","Complete genome","Kuzmin","Clust_66"
"KX148259","94272PHI","Philippines","","Dog","Canis familiaris",1994,"Asian","SEA4","Original brain","This study","Complete genome","Kuzmin","Clust_66"
"KX148263","94275PHI","Philippines","","Dog","Canis familiaris",1994,"Asian","SEA4","Original brain","This study","Complete genome","Kuzmin","Clust_66"
"KX148262","94278PHI","Philippines","","Dog","Canis familiaris",1994,"Asian","SEA4","Original brain","This study","Complete genome","Kuzmin","Clust_66"
"KX148261","94281PHI","Philippines","","Dog","Canis familiaris",1994,"Asian","SEA4","Original brain","This study","Complete genome","Kuzmin","Clust_66"
"KF620487","R2012_26","Taiwan","","Ferret badger","Melogale moschata",2012,"Asian","SEA5","Original brain","","Complete genome","Kuzmin","Clust_71"
"KF620488","R2012_88","Taiwan","","Ferret badger","Melogale moschata",2012,"Asian","SEA5","Original brain","","Complete genome","Kuzmin","Clust_71"
"KF620489","R2013_01","Taiwan","","Ferret badger","Melogale moschata",2013,"Asian","SEA5","Original brain","","Complete genome","Kuzmin","Clust_71"
"JQ686006","WR93-1654","USA","AZ","Pallid bat","Antrozous pallidus",1993,"Bats","AP","Original brain","Troupin","G","Troupin","Clust_68"
"JQ685971","AZ3003","USA","AZ","Pallid bat","Antrozous pallidus",2009,"Bats","AZ","N-P-M-G - original brain; L and termini - mouse","Troupin","Complete genome","Troupin","Clust_68"
"KX148100","09035FRA","French Guiana","","Bat","Phyllostomidae stenodermatinae",2009,"Bats","DR","Original brain","This study","Complete genome","Kuzmin","Clust_98"
"JQ685936","3634DR","Mexico","","Cow","Bos taurus",2009,"Bats","DR","Mouse","This study","N, P, M, G, L","Troupin","Clust_99"
"JQ685953","3645DR","Mexico","","Human","Homo sapiens",2009,"Bats","DR","mouse","This study","Complete genome","Troupin","Clust_96"
"KX148109","86117BRE","Brazil","","Dog","Canis familiaris",1986,"Bats","DR","Original brain","This study","Complete genome","Kuzmin","Clust_98"
"KX148268","90001FRA","French Guiana","","Dog","Canis familiaris",1990,"Bats","DR","Original brain","This study","Complete genome","Kuzmin","Clust_98"
"AB519641","BR_AL1","Brazil","","Great fruit-eating bat","Artibeus lituratus",1998,"Bats","DR","Original brain","","Complete genome","Kuzmin","Clust_98"
"AB519642","BR_DR1","Brazil","","Common vampire bat","Desmodus rotundus",2000,"Bats","DR","Original brain","","Complete genome","Kuzmin","Clust_98"
"AB247428","BR-DR8","Brazil","","Common vampire bat","Desmodus rotundus",NA,"Bats","DR","","Sato, unpublished","G","Troupin","Clust_98"
"AF351849","TB1","USA","TX","Mexican free-tailed bat","Tadarida brasiliensis",NA,"Bats","DR","","[15]","N","Troupin","Clust_95"
"AF369359","V235.FTB","USA","TX","Mexican free-tailed bat","Tadarida brasiliensis",1994,"Bats","DR","","[18]","P","Troupin","Clust_95"
"JQ685963","Coati -3639","Mexico","Cancun","Coati","Nasua narica",2009,"Bats","DR","Mouse","Troupin","Complete genome","Troupin","Clust_94"
"JQ685905","FL385","USA","FL","Mexican free-tailed bat","Tadarida brasiliensis",2003,"Bats","TB","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_95"
"AY039226","136","USA","RA","Big brown bat","Eptesicus fuscus",1984,"Bats","EF-E1","","[17]","N","Troupin","Clust_61"
"JQ686010","A11-6191","USA","WV","","Fox (unidentified)",2011,"Bats","EF-E1","Original brain","Troupin","G","Troupin","Clust_61"
"AF369338","058.BBB","Canada","","Big brown bat","Eptesicus fuscus",1993,"Bats","EF-E1","","[18]","P","Troupin","Clust_61"
"JQ685920","EF","USA","PA","Big brown bat","Eptesicus fuscus",1984,"Bats","EF-E1","mouse","This study","Complete genome","Troupin","Clust_61"
"AF351859","EF57","Canada","ONT","Big brown bat","Eptesicus fuscus",1997,"Bats","EF-E1","","[15]","N","Troupin","Clust_61"
"AF351860","EF71","USA","CT","Big brown bat","Eptesicus fuscus",1998,"Bats","EF-E1","","[15]","N","Troupin","Clust_61"
"AF351854","EF72","USA","CT","Big brown bat","Eptesicus fuscus",1998,"Bats","EF-E1","","[15]","N","Troupin","Clust_61"
"JQ686002","VS120-109","USA","NC","Big brown bat","Eptesicus fuscus",2010,"Bats","EF-E1","Original brain","Troupin","G","Troupin","Clust_61"
"AY039229","132","USA","PA","Big brown bat","Eptesicus fuscus",1972,"Bats","EF-E2","","[17]","N","Troupin","Clust_62"
"AY039227","906","USA","WA","Big brown bat","Eptesicus fuscus",1986,"Bats","EF-E2","","[17]","N","Troupin","Clust_62"
"JQ685996","A09-2561","USA","IA","Big brown bat","Eptesicus fuscus",2010,"Bats","EF-E2","Original brain","Troupin","G","Troupin","Clust_62"
"AF369339","2994.BBB","Canada","","Big brown bat","Eptesicus fuscus",1993,"Bats","EF-E2","","[18]","P","Troupin","Clust_62"
"AF369350","4805.BBB","Canada","","Big brown bat","Eptesicus fuscus",1995,"Bats","EF-E2","","[18]","P","Troupin","Clust_62"
"AF351855","EF19","Canada","ALTA","Big brown bat","Eptesicus fuscus",1991,"Bats","EF-E2","","[15]","N","Troupin","Clust_62"
"AF351861","EF3","Canada","ON","Big brown bat","Eptesicus fuscus",1972,"Bats","EF-E2","","[15]","N","Troupin","Clust_62"
"AF351861","EF3","Canada","ONT","Big brown bat","Eptesicus fuscus",1972,"Bats","EF-E2","","[15]","N","Troupin","Clust_62"
"AF351831","EF31","Canada","SASK","Big brown bat","Eptesicus fuscus",1989,"Bats","EF-E2","","[15]","N","Troupin","Clust_62"
"AF351832","EF34","Canada","BC","Big brown bat","Eptesicus fuscus",1972,"Bats","EF-E2","","[15]","N","Troupin","Clust_62"
"AF351862","EF40","Canada","ON","Big brown bat","Eptesicus fuscus",1995,"Bats","EF-E2","","[15]","N","Troupin","Clust_62"
"AF369340","V084.BBB","Canada","","Big brown bat","Eptesicus fuscus",1989,"Bats","EF-E2","","[18]","P","Troupin","Clust_62"
"AF369355","V151.BBB","Canada","","Big brown bat","Eptesicus fuscus",1989,"Bats","EF-E2","","[18]","P","Troupin","Clust_62"
"AF369357","V170.BBB","Canada","","Big brown bat","Eptesicus fuscus",1993,"Bats","EF-E2","","[18]","P","Troupin","Clust_62"
"JQ685925","waef03","USA","WA","Big brown bat","Eptesicus fuscus",2004,"Bats","EF-E2","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_62"
"JQ685934","2401","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685898","A093500","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",2009,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685961","AZ10-140","AZ/Flagstaff","","Big brown bat","Eptesicus fuscus",2010,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","Troupin","Complete genome","Troupin","Clust_86"
"JQ685913","AZBAT-6763","USA","AZ","Big brown bat","Eptesicus fuscus",1985,"Bats","EF-W1","Mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685956","AZBAT-7453","USA","AZ","Big brown bat","Eptesicus fuscus",1975,"Bats","EF-W1","Mouse","Troupin","Complete genome","Troupin","Clust_86"
"JQ685909","CA100","USA","CA","Big brown bat","Eptesicus fuscus",2005,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685917","CO-Coyot-2010","USA","CO","Coyote","Canis latrans",2010,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685941","SM1545","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2005,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685974","SM3844","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",1995,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","Troupin","Complete genome","Troupin","Clust_86"
"JQ685907","SM3849","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",1996,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685946","SM4862","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",1999,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685923","SM4871","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",1999,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685960","SM4872","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",2001,"Bats","EF-W1","Original brain","Troupin","Complete genome","Troupin","Clust_86"
"JQ685932","SM5076","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685911","SM5077","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685893","SM5079","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685904","SM5081","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
