sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
DQ275554,AL_Arctic_A,Arctic A,GRL,Greenland,-,2001,2001,2001,599,10-Dec-05,26-Jul-16,Vulpes vulpes,-,V893GLD
DQ521214,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1989,1989,1989,676,27-May-06,26-Jul-16,Canis familiaris,-,V119NEP
DQ521215,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-1
DQ521216,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,538,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-18
DQ521217,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,503,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-29
DQ521218,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,585,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-56
DQ521219,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-63
DQ521220,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-85
DQ521221,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-90
DQ521222,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2001,2001,2001,577,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND01-91
DQ521223,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2002,2002,2002,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND02-8
DQ521224,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2002,2002,2002,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND02-55
DQ521225,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2002,2002,2002,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND02-62
DQ521226,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2002,2002,2002,498,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND02-84
DQ521227,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2002,2002,2002,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND02-85
DQ521228,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2003,2003,2003,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND03-8
DQ521229,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2003,2003,2003,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND03-20
DQ521230,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2003,2003,2003,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND03-24
DQ521231,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2003,2003,2003,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND03-37
DQ521232,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2003,2003,2003,538,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND03-38
DQ521233,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND04-53
DQ521234,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,524,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND04-57
DQ521235,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND04-66
DQ521236,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,IND04-72
DQ521237,AL_Arctic_AL2,Arctic AL2,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,INDN1
DQ521238,AL_Arctic_AL2,Arctic AL2,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Canis familiaris,17370523,INDN2
DQ521239,AL_Arctic_AL2,Arctic AL2,IND,India,-,2004,2004,2004,578,05-Jun-06,14-Jul-16,Canis familiaris,17370523,INDN3
DQ521240,AL_Arctic_AL2,Arctic AL2,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Felis catus,17370523,INDN5
DQ521241,AL_Arctic_AL2,Arctic AL2,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Bos taurus,17370523,INDN6
DQ521242,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,513,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH10
DQ521243,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,546,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH13
DQ521244,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,501,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH14
DQ521245,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,443,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH19
DQ521246,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,501,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH20
DQ521247,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,498,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH26
DQ521248,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,497,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH27
DQ521249,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,579,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH28
DQ521250,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,501,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH33
DQ521251,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2004,2004,2004,503,05-Jun-06,14-Jul-16,Homo sapiens,17370523,INDH34
EF151231,AL_Arctic_AL1a,Arctic AL1a,IND,India,"Bareilly, Uttar Pradesh",1999,1999,1999,1642,26-Dec-06,08-Feb-07,Canis familiaris,-,BLY 1/99
EU086128,AL_Arctic_AL1b,Arctic AL1b,AFG,Afghanistan,-,2004,2004,2004,1575,31-Aug-08,06-Jul-11,Canis familiaris,18931062,04029AFG
EU086153,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1998,1998,1998,1575,31-Aug-08,06-Jul-11,Canis familiaris,18931062,9901NEP
EU086154,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1998,1998,1998,1575,31-Aug-08,06-Jul-11,Capra hircus,18931062,9902NEP
EU086162,AL_Arctic,Arctic,AFG,Afghanistan,-,1996,1996,1996,1353,31-Aug-08,21-Oct-08,Canis familiaris,18931062,04027AFG
EU086196,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1998,1998,1998,1353,31-Aug-08,21-Oct-08,Canis familiaris,18931062,9901NEP
EU086197,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1998,1998,1998,1353,31-Aug-08,21-Oct-08,Capra hircus,18931062,9902NEP
EU086198,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1998,1998,1998,1353,31-Aug-08,21-Oct-08,mongoose,18931062,9903NEP
EU086211,AL_Arctic_AL1b,Arctic AL1b,AFG,Afghanistan,-,2004,2004,2004,400,31-Aug-08,26-Jul-16,Canis familiaris,18931062,04029AFG
EU086212,AL_Arctic_AL1b,Arctic AL1b,AFG,Afghanistan,-,2002,2002,2002,400,31-Aug-08,26-Jul-16,Canis familiaris,18931062,02052AFG
EU836832,AL_Arctic_AL3,Arctic AL3,ITA,Italy,-,1996,1996,1996,1353,15-Jul-09,15-Jul-09,Homo sapiens,-,-
FR798947,AL_Arctic_A,Arctic A,NOR,Norway,Hopen,2011,2011,2011,571,03-Feb-11,19-Oct-11,Vulpes lagopus,-,NO-2011-04-213
GU353131,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2008,2008,2008,543,02-Feb-10,25-Jul-16,Felis catus,-,SORV1
GU353132,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2008,2008,2008,543,02-Feb-10,25-Jul-16,camel,-,SORV2
GU353134,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2008,2008,2008,536,02-Feb-10,25-Jul-16,Felis catus,-,SORV4
GU353135,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,542,02-Feb-10,25-Jul-16,Capra hircus,-,SORV5
GU353136,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,543,02-Feb-10,25-Jul-16,Felis catus,-,SORV6
GU353137,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,544,02-Feb-10,25-Jul-16,Capra hircus,-,SORV7
GU353138,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,536,02-Feb-10,25-Jul-16,Ovis aries,-,SORV8
GU353139,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,536,02-Feb-10,25-Jul-16,Vulpes vulpes,-,SORV9
GU353140,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,536,02-Feb-10,25-Jul-16,Capra hircus,-,SORV10
GU353141,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,544,02-Feb-10,25-Jul-16,Capra hircus,-,SORV11
GU353143,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,543,02-Feb-10,25-Jul-16,camel,-,SORV13
GU353144,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,543,02-Feb-10,25-Jul-16,Vulpes vulpes,-,SORV14
GU353145,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,543,02-Feb-10,25-Jul-16,Felis catus,-,SORV15
GU353146,AL_Arctic_AL1a,Arctic AL1a,OMN,Oman,-,2009,2009,2009,544,02-Feb-10,25-Jul-16,camel,-,SORV16
GU363385,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,544,06-Feb-10,25-Jul-16,buffalo,21452061,ICAD1-RB
GU363386,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,537,06-Feb-10,25-Jul-16,hyena,21452061,ICAD2-RHy
GU363387,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,544,06-Feb-10,25-Jul-16,Felis catus,21452061,ICAD3-RC
GU363388,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,544,06-Feb-10,25-Jul-16,Equus caballus,21452061,ICAD4-RH
GU363389,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD5-RD
GU363390,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD6-RD
GU363391,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD7-RD
GU363392,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD8-RD
GU363393,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Felis catus,21452061,ICAD9-RC
GU363394,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD10-RD
GU363395,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Homo sapiens,21452061,ICAD11-RHu
GU363396,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Homo sapiens,21452061,ICAD12-RHu
GU363397,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,542,06-Feb-10,25-Jul-16,Homo sapiens,21452061,ICAD13-RHu
GU363398,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Homo sapiens,21452061,ICAD14-RHu
GU363399,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Homo sapiens,21452061,ICAD15-RHu
GU363400,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Homo sapiens,21452061,ICAD16-RHu
GU363401,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,510,06-Feb-10,25-Jul-16,Homo sapiens,21452061,ICAD17-RHu
GU363402,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD18-RD
GU363403,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD19-RD
GU363404,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,543,06-Feb-10,25-Jul-16,Capra hircus,21452061,ICAD20-RG
GU363405,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD21-RD
GU363406,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,543,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD21-RD
GU363407,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2006,2006,2006,542,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD23-RD
GU363408,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2005,2005,2005,544,06-Feb-10,25-Jul-16,buffalo,21452061,ICAD24-RB
GU363409,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2006,2006,2006,544,06-Feb-10,25-Jul-16,Felis catus,21452061,ICAD25-RC
GU363410,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2009,2009,2009,544,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD26-RD
GU363411,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,537,06-Feb-10,25-Jul-16,Canis familiaris,21452061,ICAD27-RD
GU363412,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,542,06-Feb-10,25-Jul-16,Felis catus,21452061,ICAD28-RC
GU363413,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,543,06-Feb-10,25-Jul-16,Equus caballus,21452061,ICAD29-RH
GU363414,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,537,06-Feb-10,25-Jul-16,buffalo,21452061,ICAD30-RB
GU363415,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,2008,2008,2008,539,06-Feb-10,25-Jul-16,jackel,21452061,ICAD31-RJ
