sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
AY854561,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1115
AY854562,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1061
AY854563,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,529,30-Apr-05,25-Jan-12,Ovis aries,16740188,V1117
AY854564,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Felis catus,16740188,V1118
AY854565,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1116
AY854566,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Felis catus,16740188,V1137
AY854567,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1036
AY854568,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1037
AY854569,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1124
AY854570,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1134
AY854571,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1135
AY854572,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Felis catus,16740188,V1066
AY854573,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1090
AY854574,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,Felis catus,16740188,V1072
AY854575,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Felis catus,16740188,V1039
AY854576,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1040
AY854577,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1038
AY854578,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1095
DQ275543,AL_Cosmopolitan_AM4,Cosmopolitan AM4,THA,Thailand,-,2001,2001,2001,587,10-Dec-05,26-Jul-16,Canis familiaris,-,V1150THA
DQ275555,AL_Cosmopolitan_AM4,Cosmopolitan AM4,USA,United States,California,1994,1994,1994,980,10-Dec-05,10-Dec-05,skunk,-,V637SK
DQ275556,AL_Cosmopolitan_AM4,Cosmopolitan AM4,USA,United States,California,1997,1997,1997,958,10-Dec-05,10-Dec-05,skunk,-,V650SK
DQ275557,AL_Cosmopolitan_AM4,Cosmopolitan AM4,USA,United States,California,1997,1997,1997,941,10-Dec-05,10-Dec-05,skunk,-,V652SK
DQ275558,AL_Cosmopolitan_AM4,Cosmopolitan AM4,USA,United States,California,1997,1997,1997,981,10-Dec-05,10-Dec-05,skunk,-,V654SK
DQ837167,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,548,09-Aug-06,14-Jul-16,Felis catus,-,V1039
DQ837168,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,520,09-Aug-06,14-Jul-16,Canis familiaris,-,V1044
DQ837169,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,548,09-Aug-06,14-Jul-16,Canis familiaris,-,V1048
DQ837170,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,566,09-Aug-06,14-Jul-16,Felis catus,-,V1050
DQ837171,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,547,09-Aug-06,14-Jul-16,Bos taurus,-,V1054
DQ837172,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,544,09-Aug-06,14-Jul-16,Canis familiaris,-,V1056
DQ837173,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,549,09-Aug-06,14-Jul-16,Ovis aries,-,V1060
DQ837175,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,523,09-Aug-06,14-Jul-16,Canis familiaris,-,V1063
DQ837176,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,531,09-Aug-06,14-Jul-16,Capra hircus,-,V1069
DQ837177,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,518,09-Aug-06,14-Jul-16,Sus scrofa,-,V1070
DQ837178,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,579,09-Aug-06,14-Jul-16,mongoose,-,V1079
DQ837179,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,548,09-Aug-06,14-Jul-16,Canis familiaris,-,V1095
DQ837180,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,549,09-Aug-06,14-Jul-16,Canis familiaris,-,V1108
DQ837181,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,541,09-Aug-06,14-Jul-16,Canis familiaris,-,V1115
DQ837182,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,551,09-Aug-06,14-Jul-16,Ovis aries,-,V1117
DQ837183,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,557,09-Aug-06,14-Jul-16,mongoose,-,V1121
DQ837184,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,552,09-Aug-06,14-Jul-16,Felis catus,-,V1129
EU086161,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,COL,Colombia,-,2004,2004,2004,1353,31-Aug-08,21-Oct-08,Canis familiaris,18931062,C01/04
EU530725,AL_Cosmopolitan_AM3a,Cosmopolitan AM3a,PER,Peru,Madre de Dios,2000,2000,2000,264,05-Apr-08,26-Jul-16,Homo sapiens,-,PERMDD3851-00
FJ228502,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Distrito Federal,1999,1999,1999,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,1700Mxdfdg99
FJ228503,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Tlaxcala,2000,2000,2000,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,575Mxtlxdg00
FJ228504,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Puebla,2001,2001,2001,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,457Mxpuedg01
FJ228505,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Tlaxcala,2002,2002,2002,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,67Mxtlxdg02
FJ228506,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Guerrero,1999,1999,1999,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,440Mxgrodg99
FJ228507,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Estado de Mexico,1999,1999,1999,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,1390Mxmxdg99
FJ228508,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Distrito Federal,1991,1991,1991,1350,08-Mar-09,24-Jul-16,Homo sapiens,-,3121Mxdfhm91
FJ228509,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Distrito Federal,1990,1990,1990,1350,08-Mar-09,24-Jul-16,ferret,-,3142Mxdffer90
FJ228510,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Distrito Federal,1991,1991,1991,1350,08-Mar-09,24-Jul-16,Sus scrofa,-,3134Mxdfpg91
FJ228511,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Puebla,1994,1994,1994,1350,08-Mar-09,24-Jul-16,Bos taurus,-,3143Mxpuebv94
FJ228512,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Estado de Mexico,2002,2002,2002,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,2509Mxmxdg02
FJ228513,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Estado de Mexico,2000,2000,2000,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,1407Mxmxdg00
FJ228514,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Michoacan,1991,1991,1991,1350,08-Mar-09,24-Jul-16,donkey,-,3138Mxmichdk91
FJ228515,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Guerrero,2001,2001,2001,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,250Mxgrodg01
FJ228516,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Guerrero,2000,2000,2000,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,202Mxgrodg00
FJ228517,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,HND,Honduras,-,2001,2001,2001,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,60Honddg01
FJ228518,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Chiapas,2002,2002,2002,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,3066Mxchisdg02
FJ228519,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Michoacan,1990,1990,1990,1350,08-Mar-09,24-Jul-16,Felis catus,-,3122Mxmichct90
FJ228520,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,California,1990,1990,1990,1350,08-Mar-09,24-Jul-16,Canis latrans,-,33CAUSCY1990
FJ228521,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Durango,1991,1991,1991,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,3128Mxdgodg91
FJ228522,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Chihuahua,1994,1994,1994,1350,08-Mar-09,24-Jul-16,Bos taurus,-,3144Mxchihbv94
FJ228523,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Yucatan,1998,1998,1998,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,175Mxyucdg98
FJ228524,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Yucatan,1995,1995,1995,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,10Mxyucdg95
FJ228525,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Yucatan,2002,2002,2002,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,412Mxyucdg02
FJ228526,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Coahuila,2001,2001,2001,1350,08-Mar-09,24-Jul-16,Canis latrans,-,247Mxcoahcy01
FJ228527,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Tamaulipas,2002,2002,2002,1350,08-Mar-09,24-Jul-16,Felis catus,-,3306Mxct02
FJ228528,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Florida,1994,1994,1994,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,FLdg1994
FJ228529,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,2004,2004,2004,1350,08-Mar-09,24-Jul-16,Canis latrans,-,USTXCY2204
FJ228530,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1998,1998,1998,1350,08-Mar-09,24-Jul-16,Canis latrans,-,H2USTXWillcy98
FJ228531,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Tlaxcala,1991,1991,1991,1350,08-Mar-09,24-Jul-16,Capra hircus,-,3127Mxtlxgt91
FJ228532,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Puebla,1995,1995,1995,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,3151Puedg95
FJ228533,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,MEX,Mexico,Michoacan,2000,2000,2000,1350,08-Mar-09,24-Jul-16,Canis familiaris,-,490Mxmichdg00
FJ228540,AL_Cosmopolitan_AM2b,Cosmopolitan AM2b,MEX,Mexico,Sonora,2002,2002,2002,1350,08-Mar-09,24-Jul-16,Felis catus,-,3907Mxsonbct
FJ228541,AL_Cosmopolitan_AM2b,Cosmopolitan AM2b,USA,United States,Arizona,1986,1986,1986,1350,08-Mar-09,24-Jul-16,Vulpes vulpes,-,49AZUSFX1986
FJ228542,AL_Cosmopolitan_AM2b,Cosmopolitan AM2b,MEX,Mexico,Chihuahua,1994,1994,1994,1350,08-Mar-09,24-Jul-16,Felis catus,-,3148Mxchihbct94
FJ228550,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Alabama,1993,1993,1993,264,08-Mar-09,24-Jul-16,Canis familiaris,-,AlCrenshawusdg22001993
FJ228551,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1994,1994,1994,264,08-Mar-09,24-Jul-16,Canis latrans,-,D5TXJimHoggcy1994
FJ228552,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1994,1994,1994,264,08-Mar-09,24-Jul-16,Canis latrans,-,D1TXCYKleberg1994
FJ228553,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1994,1994,1994,264,08-Mar-09,24-Jul-16,Canis familiaris,-,D13TxdgLiveOak1994
FJ228554,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1995,1995,1995,264,08-Mar-09,24-Jul-16,Canis familiaris,-,E19TxdgJimWells1995
FJ228555,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1995,1995,1995,264,08-Mar-09,24-Jul-16,Canis familiaris,-,E20TxDgDuval1995
FJ228556,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1995,1995,1995,264,08-Mar-09,24-Jul-16,Canis familiaris,-,txdg160Laredo1995
FJ228557,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1995,1995,1995,264,08-Mar-09,24-Jul-16,Canis latrans,-,E11TxCyAtascosa1995
FJ228558,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1991,1991,1991,264,08-Mar-09,24-Jul-16,Canis familiaris,-,A3TxdgStarr1991
FJ228559,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1992,1992,1992,264,08-Mar-09,24-Jul-16,Canis familiaris,-,B3TxdgJimWells1992
FJ228560,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1991,1991,1991,264,08-Mar-09,24-Jul-16,Canis familiaris,-,A2TxdgStarr1991
FJ228561,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1995,1995,1995,264,08-Mar-09,24-Jul-16,Canis familiaris,-,E12TxdgWillacy1995
FJ228562,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1996,1996,1996,264,08-Mar-09,24-Jul-16,Canis familiaris,-,F17TxdgDuval1996
FJ228563,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,USA,United States,Texas,1993,1993,1993,264,08-Mar-09,24-Jul-16,Canis latrans,-,C8TxCyWillacy1993
